round,loss,accuracy
1,1.9722692981550964,0.487
2,2.2022871940950806,0.3719
3,2.2425625052633165,0.1137
4,1.6535011605371404,0.4821
5,2.0518460500089426,0.2895
6,0.811774202539951,0.7432
7,0.9904162966752355,0.7903
8,0.865280101570902,0.8418
9,0.566947605036482,0.8887
10,0.2926245658080789,0.9269
11,0.199342573108741,0.9394
12,0.1697084653556724,0.9499
13,0.15711576644849928,0.9516
14,0.14058537467653992,0.9564
15,0.13141320445397986,0.9593
16,0.11978494457876947,0.9635
17,0.11504463497785074,0.964
18,0.11060390818298241,0.9664
19,0.10717281316041569,0.9671
20,0.1014039414327686,0.9685
21,0.09538770043821651,0.9702
22,0.09473702581481466,0.9716
23,0.0894110488257359,0.9732
24,0.08794252328350669,0.9721
25,0.08301941380553136,0.9752
26,0.08309233029626452,0.9743
27,0.08182138680403793,0.9742
28,0.07754150146759953,0.9758
29,0.07576802599573909,0.976
30,0.07511881046745737,0.9755
31,0.0741334238127935,0.9774
32,0.07196655909271463,0.9777
33,0.07179989912576644,0.9772
34,0.07016553802716345,0.9776
35,0.06987600641610997,0.9782
36,0.06788697246907137,0.9789
37,0.0668202595235603,0.9791
38,0.06680505296592659,0.9791
39,0.06563167679904594,0.9791
40,0.06421187270323664,0.9803
41,0.06262873638203202,0.9801
42,0.061834320014849585,0.9811
43,0.062351787239946777,0.981
44,0.060444378327575356,0.9811
45,0.05971654113035802,0.9815
46,0.060446146002136575,0.9817
47,0.05754937184421947,0.9827
48,0.05928053098098564,0.9818
49,0.059310823986586776,0.9822
50,0.056906809044863345,0.9826
51,0.05680846638721119,0.9827
52,0.05780122880794438,0.9826
53,0.0559799636863732,0.9832
54,0.05594567334223421,0.9832
55,0.054481391484784314,0.9835
56,0.055256533136965616,0.9833
57,0.052694755922627186,0.9838
58,0.054170771576744166,0.9837
59,0.05409053400382871,0.9833
60,0.052773066096212656,0.9844
61,0.05426941110691368,0.9835
62,0.053723551738930606,0.9842
63,0.05242286141113749,0.9843
64,0.0528392204532217,0.9842
65,0.05297073646713066,0.9845
66,0.05157352200874328,0.9852
67,0.05356351481555354,0.9842
68,0.0518967425237009,0.9849
69,0.05168097384076542,0.9851
70,0.052324772631356056,0.9846
71,0.05142877603692439,0.9855
72,0.05074676378929245,0.9853
73,0.05074800336969238,0.985
74,0.0501396106563426,0.9848
75,0.05071748293773418,0.9856
76,0.0502718622633035,0.9853
77,0.049399768415955635,0.9858
78,0.04933688565985524,0.9858
79,0.04913795949954575,0.9855
80,0.049411033288851276,0.9854
81,0.0491138266886163,0.9862
82,0.04949968888942311,0.9861
83,0.04986097621808825,0.9858
84,0.04839950900368652,0.986
85,0.048988440759163907,0.9855
86,0.04859576578037607,0.986
87,0.049020051253816595,0.9865
88,0.049094207905368475,0.9859
89,0.0484048138386231,0.986
90,0.04830092894406311,0.9865
91,0.04819698769113276,0.9866
92,0.049025177256490804,0.9864
93,0.04848839742375782,0.9862
94,0.048479853175459664,0.9863
95,0.04836390836121436,0.9865
96,0.04999461365892048,0.9864
97,0.04818524228724101,0.987
98,0.04807352642538844,0.9865
99,0.04843721380534647,0.9866
100,0.047930914857807934,0.9864
