round,loss,accuracy
1,2.301456955414784,0.0908
2,2.29824550845955,0.1729
3,2.280841848518275,0.2181
4,2.1147723077218745,0.2189
5,2.1824453601354286,0.1924
6,2.0861597046067444,0.2226
7,2.14685185649727,0.2357
8,2.03897191150279,0.2791
9,2.086308397824251,0.2506
10,1.9392924701111227,0.3061
11,2.0547371665133705,0.284
12,1.8821524864510646,0.3317
13,2.019560383844979,0.3166
14,1.8138977560815932,0.3479
15,1.9233750270891794,0.3589
16,1.807395130773134,0.3547
17,1.8628900141655644,0.3707
18,1.7628371836263923,0.3871
19,1.7844734161714964,0.3979
20,1.731152597861954,0.3958
21,1.7206221894372868,0.4122
22,1.6812692261949371,0.4165
23,1.6704031847700287,0.4203
24,1.6391350755208656,0.4337
25,1.6148160409323777,0.4414
26,1.6158999596969992,0.4367
27,1.5809844868092597,0.4508
28,1.581455132629298,0.4513
29,1.5721358302273327,0.4506
30,1.5504918083359924,0.4576
31,1.5215064619160905,0.4694
32,1.5226594602005392,0.462
33,1.5152453093589107,0.4672
34,1.4987768206415297,0.4708
35,1.4845411988753308,0.4792
36,1.4901767591886883,0.4802
37,1.4668832881541192,0.4841
38,1.4829022854189329,0.4823
39,1.4531227938736542,0.4884
40,1.4361094281643252,0.4942
41,1.437381140793426,0.4943
42,1.4288898178293734,0.495
43,1.4294061509868767,0.4968
44,1.412102460861206,0.504
45,1.4233403311500066,0.4989
46,1.3934786063206346,0.5069
47,1.4061099139949944,0.5063
48,1.393742162970048,0.5077
49,1.3781395516818082,0.5201
50,1.3709493528438519,0.512
51,1.3732068870641008,0.522
52,1.3476462665992448,0.5235
53,1.3667454598825188,0.5217
54,1.3395311379734474,0.5273
55,1.3541838066487373,0.5236
56,1.3307528420339656,0.5288
57,1.3342828177198578,0.5335
58,1.3261295979536032,0.5318
59,1.3227463764480398,0.5357
60,1.3093434225154827,0.5358
61,1.302731891221638,0.5426
62,1.2983679499807237,0.5401
63,1.30290655093857,0.543
64,1.2939540721193146,0.5458
65,1.2926939816414555,0.5457
66,1.297920961923237,0.5435
67,1.2876163026954555,0.5496
68,1.2845237798328641,0.5454
69,1.276321279851696,0.5508
70,1.276008059706869,0.5528
71,1.275869633578047,0.5531
72,1.2712018867082233,0.5541
73,1.2725591659545898,0.5494
74,1.2714821356761306,0.5541
75,1.2623620576496366,0.5577
76,1.2754814775684211,0.5546
77,1.2700330260433728,0.555
78,1.2711382334745382,0.557
79,1.2505207801166969,0.555
80,1.2584751753867427,0.5576
81,1.242586872245692,0.5658
82,1.2527922784225851,0.5619
83,1.2484408194505716,0.5636
84,1.25206604788575,0.5607
85,1.2437294993219496,0.5585
86,1.2471550884126108,0.5632
87,1.2430096864700317,0.5637
88,1.234528280511687,0.5681
89,1.2329193579999707,0.5687
90,1.2360559430303453,0.5695
91,1.2287867205052436,0.5695
92,1.2330325449569315,0.5709
93,1.229855226565011,0.5734
94,1.2255300147623955,0.5754
95,1.232830320732503,0.5709
96,1.235952308660821,0.5723
97,1.2333334020421476,0.5697
98,1.2369737232787699,0.5691
99,1.2382745508906208,0.5674
100,1.2285404243046725,0.576
