round,loss,accuracy
1,2.3029674970650973,0.1039
2,2.292419252516348,0.1272
3,2.300873243356053,0.1023
4,2.245273396938662,0.1691
5,2.267399434801898,0.1402
6,2.1697583681420434,0.2031
7,2.1969343982165372,0.1781
8,2.1429437142384202,0.2163
9,2.1020916292939007,0.2225
10,2.112943453124807,0.2044
11,2.0574924493137794,0.2338
12,2.019266621975959,0.2513
13,2.0149300641651395,0.2391
14,2.0130542139463787,0.2679
15,1.9542518823961668,0.2647
16,1.9031260556812528,0.3196
17,1.8964649363409114,0.3204
18,1.8545521814611894,0.3223
19,1.8723055863682228,0.3425
20,1.8297249440905414,0.3109
21,1.7840729031381728,0.3781
22,1.7803096786330017,0.3503
23,1.7475798311112802,0.3879
24,1.7318786095969285,0.3784
25,1.7047456819799882,0.3965
26,1.688599649863907,0.3931
27,1.6661807027044175,0.4071
28,1.6447157603275926,0.4134
29,1.6344867144958883,0.4154
30,1.6361908641042588,0.4099
31,1.610130821602254,0.416
32,1.6186026591288893,0.4201
33,1.6081833763967586,0.4173
34,1.5913337785986406,0.43
35,1.585481068756007,0.427
36,1.5807608713077594,0.4322
37,1.5705564565296415,0.4292
38,1.5503762990613528,0.4399
39,1.5696992587439622,0.4324
40,1.544255433203299,0.4446
41,1.5485123908972438,0.4392
42,1.5329470574101316,0.4484
43,1.5315889678423917,0.4472
44,1.537888735155516,0.4468
45,1.533138382283947,0.448
46,1.5102143136760857,0.4492
47,1.5241472992715956,0.454
48,1.5042940091483201,0.4534
49,1.5155344794068155,0.4573
50,1.489186790925038,0.4538
51,1.5023043879979774,0.4585
52,1.4817154075525985,0.4637
53,1.4985079870948308,0.4597
54,1.4759029014201104,0.463
55,1.489261438574972,0.4605
56,1.4639162474040743,0.4722
57,1.4845200535617298,0.4596
58,1.4622952998438967,0.4729
59,1.4671550068674208,0.4638
60,1.4692899984649466,0.4715
61,1.4620279737665682,0.467
62,1.456737328179275,0.4766
63,1.4608725596077834,0.4748
64,1.4408392166789574,0.4808
65,1.4561087451403654,0.4766
66,1.4530420031728624,0.4721
67,1.4540042650850513,0.4738
68,1.4452544767645341,0.4772
69,1.454136290127718,0.4767
70,1.4264749967599217,0.483
71,1.442252824578104,0.4824
72,1.4235019487670706,0.4846
73,1.448526468458055,0.4829
74,1.4286612755135646,0.4837
75,1.4336245029787473,0.4806
76,1.427928085568585,0.4839
77,1.4355986495561237,0.4849
78,1.4225280647036396,0.4896
79,1.4305633004707625,0.4868
80,1.4369214501561998,0.4841
81,1.4232107385804382,0.4913
82,1.4252896444706977,0.4867
83,1.4296730590772024,0.4887
84,1.4204305651821667,0.4868
85,1.4205747676801077,0.4858
86,1.4188554573662673,0.486
87,1.4104418452781966,0.494
88,1.4132284107087534,0.4921
89,1.4104430252992655,0.4928
90,1.4069818228105955,0.4927
91,1.429364427735534,0.4876
92,1.408313962477672,0.4917
93,1.4187712533564507,0.4901
94,1.4130415840993953,0.4978
95,1.4296283284320106,0.4929
96,1.4230632887610906,0.4912
97,1.4291296608840363,0.4913
98,1.4134037026876136,0.4951
99,1.4256260470498967,0.4914
100,1.4228829054892818,0.4909
