round,loss,accuracy
1,1.9909323016299476,0.5955
2,4.229116047484966,0.5281
3,8.403875399239455,0.4754
4,6.727619146998925,0.4822
5,9.547031800958175,0.4695
6,8.058154782162436,0.4926
7,10.707313911824286,0.5014
8,7.096854137468942,0.5222
9,9.51158601422853,0.5175
10,7.1562244741222525,0.5455
11,9.587952752656575,0.5254
12,6.333653112001057,0.5835
13,8.438836387441128,0.5454
14,6.224294357661959,0.5952
15,8.913063966775242,0.5491
16,6.0301160389863995,0.6127
17,8.10374017305012,0.568
18,6.412808650656592,0.6193
19,7.408128321925296,0.5776
20,6.091843297209921,0.6341
21,8.722980933853343,0.571
22,5.773996482921552,0.6452
23,6.896090471291844,0.5976
24,6.185985272443747,0.6432
25,7.583086895037301,0.6052
26,5.143336522428295,0.6761
27,6.513467818875856,0.6382
28,4.804320063772081,0.6925
29,6.270017442823965,0.6418
30,4.634857340704037,0.6952
31,6.074783669242376,0.6482
32,4.700022582766376,0.6978
33,6.163801319991486,0.6475
34,5.10647597192209,0.6934
35,6.5973829257337355,0.6581
36,4.807016146333912,0.7068
37,5.767136911802654,0.6634
38,4.3722972236102144,0.7188
39,5.210593431810789,0.6881
40,4.166013240814209,0.7226
41,4.900316796725309,0.7052
42,3.9061870544771606,0.7402
43,5.554658026634892,0.703
44,4.063490282131147,0.7374
45,4.871062818961807,0.6994
46,4.404891364182098,0.7298
47,5.7620618252814575,0.6862
48,4.79194613046284,0.719
49,5.032884784891635,0.6944
50,4.978702693045894,0.7132
51,6.030288008194935,0.6614
52,5.406160445152959,0.6979
53,6.671997354000429,0.6534
54,4.5032016476498375,0.7313
55,5.682372714899763,0.6907
56,4.336688535122931,0.74
57,4.826313341720195,0.7086
58,4.137689439556267,0.7438
59,4.9962865702713595,0.7039
60,4.387873791441133,0.7287
61,5.891312680666959,0.6782
62,5.135138230987742,0.7139
63,6.692540265336821,0.6779
64,4.46705833266053,0.7349
65,5.23265557953074,0.7066
66,4.420232766791235,0.7342
67,5.587900937358035,0.6891
68,4.70989730690099,0.7249
69,5.4127308628227135,0.693
70,4.665926894055137,0.7235
71,5.4509085341344905,0.6956
72,4.351988614359988,0.738
73,5.481195458882971,0.7053
74,4.361902187142191,0.7381
75,5.656928331037111,0.7053
76,3.9176114254359957,0.7533
77,5.196808229518842,0.7206
78,3.75167341775532,0.7629
79,5.123083232324334,0.7173
80,4.0836742920211595,0.7499
81,5.319213100626499,0.7176
82,3.9387324007251596,0.7579
83,5.144903886167309,0.7249
84,3.9694603093062777,0.7549
85,5.23174718060071,0.7216
86,4.205410207374187,0.7532
87,5.060973460161233,0.7262
88,4.113109727449055,0.7574
89,4.614954752258107,0.7264
90,4.393892783152906,0.7535
91,4.677534172806559,0.7361
92,3.79709319676025,0.771
93,4.584444033948681,0.7411
94,4.193568511854244,0.7612
95,4.653472305853156,0.7375
96,4.002342408216452,0.7638
97,4.897064130517501,0.7321
98,4.093550842019576,0.764
99,4.608202197883703,0.7383
100,3.8268471895893916,0.7737
