round,loss,accuracy
1,2.295040471644341,0.1407
2,2.2489246356336374,0.2012
3,2.1353688179692134,0.2418
4,2.172281207917612,0.2385
5,2.1462968059732943,0.2468
6,2.1695483274097684,0.2863
7,2.0921066441113436,0.2927
8,2.035961463481565,0.3161
9,1.991929197613197,0.3473
10,1.9408344875408123,0.34
11,1.9063751244846778,0.3631
12,1.8085488005529475,0.3704
13,1.8348758054684988,0.384
14,1.7828895215746723,0.3869
15,1.7339729402638688,0.4109
16,1.7148140578330318,0.4164
17,1.6807748366005812,0.4231
18,1.6442104985442343,0.4322
19,1.6210217355172845,0.4395
20,1.59006929397583,0.4469
21,1.5845967546294006,0.4529
22,1.6039949534814568,0.4498
23,1.5318707197527341,0.4547
24,1.5730278914487814,0.4554
25,1.5248997679239586,0.4625
26,1.4979182979728602,0.4731
27,1.504540070702758,0.4666
28,1.4821044900749303,0.4725
29,1.477226599862304,0.4727
30,1.4628656619711766,0.4859
31,1.4534107748466203,0.4761
32,1.4542617284798924,0.4794
33,1.42658222777934,0.4907
34,1.4438738174076322,0.4879
35,1.4265245048305657,0.4939
36,1.4219242636161515,0.4947
37,1.4092162379735633,0.497
38,1.4041160692142536,0.4966
39,1.3949321810203263,0.5003
40,1.398148406909991,0.5019
41,1.3918248973315275,0.5066
42,1.383386017401007,0.5059
43,1.3669943552982957,0.511
44,1.3786677348462841,0.505
45,1.3641577083853227,0.51
46,1.37598994110204,0.5078
47,1.3565032557596135,0.5166
48,1.3672033729432505,0.517
49,1.3475851741018174,0.5201
50,1.3509206379516214,0.5195
51,1.3436870122257667,0.5195
52,1.3376300606546523,0.5228
53,1.3224242986003054,0.5273
54,1.3255609107922903,0.5261
55,1.3276147450072855,0.5301
56,1.321475944941557,0.5253
57,1.317754159999799,0.5298
58,1.3183204569394076,0.5284
59,1.2990096656582024,0.5355
60,1.2986540311499486,0.5345
61,1.3024907338468334,0.5382
62,1.3045472706420511,0.5338
63,1.300160539301136,0.5377
64,1.2957303539107117,0.5368
65,1.2903635471682005,0.5387
66,1.2903381254099593,0.537
67,1.281895897056483,0.5439
68,1.2900901127465163,0.5356
69,1.288006322293342,0.5421
70,1.283502065682713,0.5356
71,1.287598244751556,0.5434
72,1.2785199488265604,0.5386
73,1.285108727744863,0.5449
74,1.2761119770098337,0.5441
75,1.2950577041770839,0.5388
76,1.2640988162801237,0.5476
77,1.2773744848710071,0.5436
78,1.2552232470693467,0.5507
79,1.2772406958326508,0.5472
80,1.2626380346998383,0.5506
81,1.2731161615516566,0.5467
82,1.2678904910630817,0.5535
83,1.2640611159650585,0.5498
84,1.2680856864663619,0.5464
85,1.260706477527377,0.549
86,1.2578148509882674,0.5588
87,1.2618183863313892,0.5519
88,1.2529858501651618,0.556
89,1.265946376172802,0.5522
90,1.252728270578988,0.5599
91,1.2575684997099865,0.5529
92,1.2468680928025064,0.5623
93,1.2532421561736096,0.5561
94,1.2507287082792837,0.5614
95,1.2456861885288093,0.5583
96,1.2499759363222727,0.5639
97,1.24707962440539,0.558
98,1.2539781060399888,0.5568
99,1.2514858955069432,0.5563
100,1.246567306639273,0.564
