round,loss,accuracy
1,2.3007631996009925,0.1039
2,2.2958017361314993,0.129
3,2.2689198844040495,0.2056
4,2.144156978100161,0.2181
5,2.152200436290306,0.2075
6,2.159130226207685,0.2201
7,2.097777460194841,0.2336
8,2.1057725556289095,0.2608
9,2.070428907116757,0.2696
10,2.0418922870974,0.3131
11,1.9975175178503688,0.3312
12,1.9713719479645355,0.3439
13,1.9268099114864687,0.3619
14,1.888273684284355,0.3595
15,1.8476506758339797,0.369
16,1.7796035310890101,0.3926
17,1.7718900261046011,0.3961
18,1.7152818697917311,0.4044
19,1.6871423630774776,0.4202
20,1.6758407912676847,0.4225
21,1.6753359444533722,0.4151
22,1.6388275713860234,0.4221
23,1.606595991533014,0.4351
24,1.59036972703813,0.4437
25,1.574567263639426,0.4497
26,1.5567398252366464,0.4568
27,1.5510203249846832,0.4578
28,1.5382692542257188,0.4616
29,1.50733449941949,0.4667
30,1.4932333940192113,0.4715
31,1.489603007896037,0.474
32,1.4804459719718257,0.4759
33,1.470686345160762,0.4793
34,1.4638900756835938,0.481
35,1.4542355477055418,0.4797
36,1.4573274081266379,0.483
37,1.4300538150570061,0.4912
38,1.4296703851675685,0.4926
39,1.4168682309645642,0.493
40,1.4150684875778006,0.4951
41,1.4079086207136322,0.4977
42,1.403167166287386,0.4989
43,1.4043315694301943,0.5018
44,1.400224220903614,0.5019
45,1.3876261228247533,0.5042
46,1.3867975850648517,0.5046
47,1.3828444179100325,0.5079
48,1.3730845647522165,0.5126
49,1.3610069978086254,0.5159
50,1.3636204713507543,0.5133
51,1.3515878372554537,0.5188
52,1.3614740914936307,0.5178
53,1.3524903873854046,0.518
54,1.3482812461973745,0.523
55,1.3357269039636925,0.5242
56,1.3338865992389148,0.5296
57,1.3284942696366129,0.525
58,1.3272008895874023,0.5302
59,1.331627304040933,0.5217
60,1.3226022871234748,0.5306
61,1.3171730252760876,0.5315
62,1.3156521682497822,0.5339
63,1.3091044984286344,0.533
64,1.3010994075219842,0.5395
65,1.299205485778519,0.5361
66,1.3163128472581695,0.5352
67,1.2934297775920434,0.5382
68,1.2979882668845262,0.5394
69,1.2982205741013153,0.5367
70,1.2909751315660114,0.5457
71,1.2876979429510576,0.5424
72,1.2857754426666452,0.5417
73,1.2877361140673673,0.5438
74,1.2796562713912771,0.5457
75,1.281214169309109,0.5439
76,1.2874989947186242,0.5458
77,1.276529770863207,0.5508
78,1.268770326541949,0.5481
79,1.2720374050019663,0.5512
80,1.267286756370641,0.5491
81,1.2703976072842562,0.55
82,1.2624207222009007,0.5503
83,1.2671894076504284,0.5498
84,1.2665919774695287,0.5479
85,1.2593655510793758,0.5537
86,1.2591935003860086,0.5546
87,1.255819350858278,0.5521
88,1.2482241195968435,0.555
89,1.256694327426862,0.5532
90,1.255798560154589,0.5549
91,1.2617226205294645,0.5482
92,1.2508210532272919,0.5562
93,1.2483470500270022,0.5571
94,1.25032377243042,0.5553
95,1.2427488474906245,0.5603
96,1.2453849707977682,0.5579
97,1.2422260815584207,0.5565
98,1.2454148681857917,0.5562
99,1.2386944475053232,0.5603
100,1.241678103615966,0.5599
