round,loss,accuracy
1,2.2886617274224004,0.1715
2,2.2241004931775827,0.2261
3,2.163172830509234,0.2307
4,2.1473800140091135,0.2381
5,2.139614657510685,0.2572
6,2.1417352700535255,0.2789
7,2.1163962128796157,0.2829
8,2.081688135485106,0.2967
9,2.0851392564894278,0.287
10,2.0680707617651057,0.2957
11,2.030430875247038,0.3137
12,2.044112688378443,0.3051
13,2.0051791547219966,0.3276
14,1.970052642158315,0.3438
15,1.9447344692447517,0.3466
16,1.938343008862266,0.3423
17,1.9109105550790135,0.3583
18,1.8655057572111298,0.3717
19,1.8413396575782872,0.3845
20,1.8052534815631336,0.3945
21,1.7799013008045246,0.3973
22,1.7599529314644728,0.4033
23,1.724825477298302,0.4139
24,1.7228811194625082,0.4169
25,1.7042131650296948,0.4207
26,1.7030938818484922,0.4207
27,1.6626913909670673,0.4301
28,1.6534532278398923,0.4351
29,1.6369914540761634,0.4318
30,1.6037396901770482,0.4401
31,1.5953967012936556,0.4453
32,1.5864345378513578,0.4447
33,1.5780353998836083,0.4501
34,1.568897610978235,0.4545
35,1.5480774203433265,0.4581
36,1.560406055631517,0.4581
37,1.538835364052012,0.461
38,1.5333035973053943,0.4624
39,1.5261573791503906,0.4658
40,1.51015533978426,0.4692
41,1.5056689132618,0.469
42,1.4961441830743718,0.4718
43,1.4959874183316775,0.4747
44,1.4951836459244354,0.4742
45,1.4814062148709841,0.4788
46,1.46426882774015,0.4813
47,1.4569118460522423,0.4823
48,1.4504649276974835,0.486
49,1.4442698246316066,0.4889
50,1.43637378759022,0.4922
51,1.4300223106070409,0.4902
52,1.4351612510560434,0.489
53,1.4352292712730697,0.49
54,1.4223042183284518,0.4912
55,1.4109640091280393,0.4938
56,1.4104155422765998,0.4962
57,1.4113595666764658,0.4965
58,1.4029501329494427,0.4969
59,1.390889416767072,0.4982
60,1.3875207101242453,0.5004
61,1.390124651450145,0.5001
62,1.3807257911826991,0.5052
63,1.3795026978359948,0.5068
64,1.3671435374247878,0.5083
65,1.36885095698924,0.5139
66,1.3679477504537076,0.513
67,1.3610991858228851,0.5139
68,1.3580806436417978,0.5167
69,1.3642970338652405,0.5128
70,1.3589591602735882,0.5084
71,1.350341203846509,0.5149
72,1.348668081850945,0.5138
73,1.3507967855356917,0.5125
74,1.3424501901940455,0.5165
75,1.3406741362583787,0.5141
76,1.3322252774540382,0.5246
77,1.3296837987779062,0.5213
78,1.3333000050315373,0.5234
79,1.3261232738253437,0.522
80,1.3217940089068836,0.5281
81,1.327522744106341,0.5227
82,1.3252088118203078,0.5258
83,1.3221991394139543,0.5281
84,1.3211025286324416,0.5262
85,1.3192005459266374,0.5277
86,1.3128531582747833,0.5292
87,1.3152193404451202,0.5299
88,1.308673689637003,0.5336
89,1.3010184357437906,0.5363
90,1.303334221055236,0.5342
91,1.3000892566729196,0.5335
92,1.296165537230576,0.5327
93,1.2958842304688465,0.5367
94,1.294984302943266,0.5354
95,1.2928598409966578,0.5389
96,1.2892702048337912,0.5387
97,1.2874119311948367,0.5414
98,1.2854818316954602,0.5418
99,1.2830188877974884,0.5435
100,1.2799162442171121,0.543
