round,loss,accuracy
1,2.300887297980393,0.1296
2,2.295666480366188,0.1173
3,2.2319204505485826,0.1835
4,2.2647040524060214,0.1211
5,2.1725334517563444,0.2224
6,2.1523222651662706,0.1984
7,2.100151252142991,0.2253
8,2.0900776627697524,0.2374
9,2.0305588471738596,0.263
10,2.0251706778248653,0.2627
11,1.9925392307812655,0.2738
12,1.9612615440465226,0.2729
13,1.9444616957555843,0.3109
14,1.8893439090704616,0.3163
15,1.84224598015411,0.3508
16,1.8413076627103588,0.3512
17,1.7670795645894883,0.3803
18,1.7908093899111204,0.3781
19,1.777231445795373,0.3867
20,1.7228657263743727,0.3978
21,1.7031686985040013,0.4078
22,1.6788678772841827,0.4152
23,1.6907484003260165,0.4125
24,1.6526093543330325,0.421
25,1.6461441441427302,0.4226
26,1.6356595256660558,0.4299
27,1.6263670136656942,0.4327
28,1.6029476893099048,0.4397
29,1.5901597164854218,0.4413
30,1.592779044863544,0.4455
31,1.558361287358441,0.443
32,1.5706842217264296,0.4482
33,1.5463015640838236,0.4465
34,1.5418048553828951,0.4536
35,1.5331639473951315,0.4541
36,1.5286083296884465,0.4568
37,1.528285960607891,0.4581
38,1.5141345820849454,0.4591
39,1.5017701523213447,0.4658
40,1.5093888149985784,0.4644
41,1.491613901114162,0.4703
42,1.4858830925784534,0.4672
43,1.4703941737549215,0.4776
44,1.472858839397189,0.4758
45,1.4811426099342635,0.4766
46,1.483299597909179,0.4752
47,1.4582637714434274,0.4852
48,1.4655830060379416,0.4811
49,1.4434446745280978,0.4888
50,1.4532753440398205,0.4842
51,1.435641750504699,0.4938
52,1.4463672185245948,0.4818
53,1.4365556753134425,0.4924
54,1.4327880702441251,0.4908
55,1.4280943945993352,0.4917
56,1.4258903551705275,0.4926
57,1.4210224408137648,0.4963
58,1.420828345455701,0.4985
59,1.4196797111366368,0.4925
60,1.409747817848302,0.4971
61,1.4082080427604386,0.5021
62,1.410058760944801,0.5021
63,1.4078512282311162,0.4995
64,1.3999063153810138,0.5029
65,1.4007684022565432,0.5085
66,1.3970346314997613,0.5059
67,1.391858553584618,0.5074
68,1.4006410143043422,0.5072
69,1.3985244065900393,0.5043
70,1.393794207633296,0.5069
71,1.3997700335104255,0.5042
72,1.3782277695740326,0.5132
73,1.389377755454824,0.5093
74,1.3786775914928582,0.5146
75,1.3866974024833003,0.5072
76,1.3765226542195188,0.5113
77,1.385036731068092,0.5125
78,1.382446933396255,0.5097
79,1.383831552312344,0.5114
80,1.3719586149046692,0.517
81,1.3802305233629444,0.5168
82,1.3788691351685343,0.5161
83,1.3762852889073045,0.5114
84,1.3706208618381355,0.5137
85,1.3734110292000106,0.5119
86,1.3726223963725417,0.518
87,1.3820979534825193,0.5162
88,1.3851693204686613,0.5126
89,1.3777604344524914,0.515
90,1.3771511120132254,0.5137
91,1.3711943445326407,0.5143
92,1.3809084665926197,0.5139
93,1.3647939781599407,0.515
94,1.3846180952048,0.5172
95,1.3702262836166574,0.5178
96,1.3737280549882334,0.5147
97,1.3711579449569122,0.5149
98,1.3887110842934138,0.5145
99,1.3760767797880535,0.5164
100,1.3678592368017268,0.5217
