round,loss,accuracy
1,2.3024993365324,0.1039
2,2.302364560622203,0.1029
3,2.3021563608435134,0.1032
4,2.3019964000846764,0.1039
5,2.3017717856395095,0.1039
6,2.3015770248219938,0.1048
7,2.301232835914515,0.1057
8,2.3009371516070787,0.1063
9,2.300682544708252,0.1064
10,2.30032953129539,0.1073
11,2.2999351416962055,0.1084
12,2.299631248546552,0.109
13,2.299173035199129,0.11
14,2.2986054058316387,0.1103
15,2.2979569314401362,0.1123
16,2.2973579756821256,0.1124
17,2.296562203878089,0.1125
18,2.295867183540441,0.1124
19,2.2946250831024555,0.1145
20,2.2934053789211224,0.1164
21,2.291508306430865,0.1176
22,2.2899111403694636,0.1183
23,2.2876431459113014,0.1197
24,2.2855744120440904,0.1157
25,2.282241655301444,0.1207
26,2.27983117707168,0.1208
27,2.2763936881777607,0.1222
28,2.2713070006310185,0.1326
29,2.265629940395114,0.1547
30,2.260801608049417,0.1684
31,2.2567139426364173,0.1666
32,2.2528693283660504,0.1642
33,2.246527819693843,0.1656
34,2.2404600759095783,0.1671
35,2.235193705256981,0.1716
36,2.2299750273740746,0.1713
37,2.223868004883392,0.1791
38,2.223131004768082,0.1723
39,2.2183189241192007,0.1704
40,2.2135411365122737,0.173
41,2.2093307549440406,0.1754
42,2.206653087953978,0.1778
43,2.204113534734219,0.1719
44,2.1995256973218313,0.173
45,2.1954894971243943,0.1747
46,2.1953198577784283,0.1729
47,2.191333043424389,0.1734
48,2.1867315256142916,0.1751
49,2.1831012737901907,0.1759
50,2.178808767584306,0.1798
51,2.1770248805420307,0.1773
52,2.174867838243895,0.1789
53,2.169087065926081,0.1807
54,2.1649918405315542,0.182
55,2.1631275339971614,0.1813
56,2.159872202933589,0.1811
57,2.1570272807833515,0.1815
58,2.153971578501448,0.1848
59,2.152150688292105,0.1848
60,2.1514888866038264,0.1829
61,2.150252710414838,0.1821
62,2.148666514626032,0.1836
63,2.146844350838963,0.185
64,2.1431173010717464,0.1883
65,2.142022712321221,0.1882
66,2.1390080723581435,0.1902
67,2.136878140365021,0.1903
68,2.1337021996703327,0.192
69,2.131260862833337,0.1934
70,2.129348929924301,0.1943
71,2.126483730123013,0.1954
72,2.124981810774984,0.195
73,2.1232250581813763,0.1947
74,2.121130203898949,0.196
75,2.1194496154785156,0.1967
76,2.1176526727555673,0.1973
77,2.116173931314975,0.1971
78,2.1143211201776433,0.1986
79,2.114344925820073,0.1974
80,2.113269181191167,0.1979
81,2.110706329345703,0.1993
82,2.1080352052857605,0.2009
83,2.105984138537057,0.2007
84,2.1056303374374967,0.2002
85,2.104366785363306,0.1997
86,2.1048047602931157,0.1989
87,2.103170503543902,0.2
88,2.1022402546073815,0.1996
89,2.100739294969583,0.201
90,2.098911139029491,0.2019
91,2.0979209398921532,0.2035
92,2.0975052872790565,0.2036
93,2.0960108600085294,0.2045
94,2.096029118646549,0.2034
95,2.094542782517928,0.2048
96,2.093738850158981,0.2056
97,2.0931079810178734,0.2055
98,2.0928280866598783,0.2045
99,2.091977908641477,0.204
100,2.0899706550791293,0.2051
