round,loss,accuracy
1,2.3015951355801354,0.0999
2,2.2971894590160513,0.1
3,2.2812238856206966,0.1219
4,2.2459236398527893,0.195
5,2.2251862725125084,0.1826
6,2.1789577671244174,0.2113
7,2.1634257564061805,0.1934
8,2.113125624535959,0.234
9,2.108657233322723,0.2577
10,2.066063832633103,0.2525
11,2.0409068804752977,0.274
12,1.9972056603129906,0.2927
13,1.9668149933030334,0.3064
14,1.948633788507196,0.3131
15,1.8937524662742131,0.3192
16,1.9073498083066336,0.3276
17,1.856983928740779,0.3438
18,1.830692647378656,0.3474
19,1.821563347985473,0.3511
20,1.7798848363417614,0.3679
21,1.7570439562012878,0.3718
22,1.759250417540345,0.3776
23,1.7310645640650881,0.3778
24,1.7172995549214036,0.3955
25,1.714073289798785,0.3851
26,1.6784297227859497,0.4085
27,1.6764479226703886,0.4034
28,1.6491346827036217,0.4115
29,1.6505814081505885,0.4073
30,1.6378629645214806,0.4173
31,1.6223087099534046,0.4191
32,1.6203011757210841,0.4239
33,1.6016974675504467,0.4285
34,1.5963165246987645,0.4292
35,1.58341204818291,0.4388
36,1.5801982924908022,0.4296
37,1.5611278739156602,0.4399
38,1.556411987618555,0.4418
39,1.5512524164175685,0.4463
40,1.5418698033200036,0.4454
41,1.5294686435144158,0.4511
42,1.528016997289054,0.4475
43,1.519636899610109,0.4566
44,1.5096781299084048,0.4581
45,1.5061242535144468,0.4587
46,1.496180849739268,0.4652
47,1.4872390982470935,0.4664
48,1.4891566505915002,0.4661
49,1.4860695298713973,0.4687
50,1.4800057486642766,0.4689
51,1.467105356952812,0.474
52,1.467313938503024,0.4704
53,1.4669463362874864,0.4757
54,1.4624269068995608,0.4741
55,1.4497343362132205,0.4795
56,1.4538077810142613,0.4815
57,1.4445730960821803,0.4857
58,1.447940616668025,0.4811
59,1.433533152447471,0.4911
60,1.436742317827442,0.4823
61,1.4245359897613525,0.4898
62,1.424021142947523,0.4909
63,1.425461245488517,0.4914
64,1.4207180904436716,0.4905
65,1.4172446109071564,0.496
66,1.4121907421305209,0.4914
67,1.4099840031394475,0.493
68,1.4155620728866964,0.492
69,1.4070012946672077,0.4965
70,1.402296989778929,0.4978
71,1.3959390377696557,0.4978
72,1.3994651580158668,0.4969
73,1.3896215143083017,0.5018
74,1.3927099931089184,0.499
75,1.3815918859047225,0.5033
76,1.3857967823366575,0.5018
77,1.381800127934806,0.5023
78,1.3759893616543541,0.5025
79,1.3784075386916534,0.5043
80,1.3709920735298833,0.5075
81,1.380100546003897,0.5052
82,1.369702849207045,0.5074
83,1.3736974830868878,0.504
84,1.3661757224722753,0.5099
85,1.3719162956068787,0.5039
86,1.359512668621691,0.5119
87,1.3596417073962055,0.5114
88,1.352860719342775,0.5145
89,1.355718407449843,0.5133
90,1.3535970238190662,0.5173
91,1.3573402422892897,0.511
92,1.347094273265404,0.5189
93,1.3541241069383259,0.5182
94,1.3495326841933817,0.5164
95,1.342232960688917,0.519
96,1.347196560871752,0.5189
97,1.3365560241892367,0.5226
98,1.339380780352822,0.5213
99,1.3350231255157083,0.5215
100,1.335713357865056,0.5198
