round,loss,accuracy
1,1.4757218428804904,0.6765
2,1.0521134892596473,0.7421
3,1.0311636343786987,0.7501
4,0.9643724387205099,0.7632
5,0.8825316776203204,0.7776
6,0.8402306897730767,0.7853
7,0.8286368669588354,0.7888
8,0.8202329953260059,0.7914
9,0.8640634115738205,0.7875
10,0.8702920788451086,0.7864
11,0.8455829046949556,0.7937
12,0.7983253869829299,0.7996
13,0.8187245277664329,0.7961
14,0.8251543399653857,0.8003
15,0.8391389360156241,0.798
16,0.805709633646132,0.8029
17,0.8230453186397311,0.7997
18,0.8195447906663146,0.7989
19,0.8237019102030163,0.8024
20,0.8409790453277056,0.7987
21,0.8539173516291606,0.7983
22,0.8282907160022591,0.8019
23,0.8246833697150026,0.8012
24,0.8024555829506886,0.803
25,0.8098828664308861,0.8029
26,0.8420909982693346,0.8003
27,0.8120604304573203,0.8048
28,0.8634660923028294,0.8
29,0.8153958833670314,0.8045
30,0.8150037017804158,0.8047
31,0.8049967752981789,0.8055
32,0.814237922807283,0.8026
33,0.8232879253882396,0.802
34,0.8322348971910114,0.8017
35,0.8012160651291473,0.8063
36,0.8323455871660498,0.8013
37,0.8079661074318464,0.8073
38,0.8039134431488907,0.806
39,0.8175018773048739,0.806
40,0.8173049016843869,0.8048
41,0.8093502351754829,0.8064
42,0.828840676742264,0.8053
43,0.804734245508532,0.8078
44,0.8017475223993953,0.8093
45,0.8382811108721963,0.805
46,0.813586837883237,0.8087
47,0.8108100981651982,0.8064
48,0.8207782318320456,0.8079
49,0.8168037680885459,0.8079
50,0.8067930431305608,0.811
51,0.8418288208261321,0.8058
52,0.8328927943978128,0.8077
53,0.8386236131191254,0.8054
54,0.8332098514973363,0.808
55,0.8362844503378566,0.807
56,0.8248994674863694,0.8086
57,0.8256528977351852,0.8084
58,0.8652493682088731,0.8046
59,0.8087885655179808,0.8116
60,0.8193658571454543,0.8089
61,0.8034191904943201,0.8099
62,0.8059697015376031,0.813
63,0.8251605056509187,0.808
64,0.8271951113320604,0.8074
65,0.8262455629397042,0.8073
66,0.8337648080874093,0.8093
67,0.8184243666974804,0.8134
68,0.818881347586837,0.81
69,0.8297292612775972,0.8107
70,0.8679022860677936,0.8036
71,0.8568783538250984,0.8057
72,0.831253690055654,0.8096
73,0.853895855100849,0.805
74,0.8346995070010801,0.8091
75,0.8229440194142016,0.8106
76,0.8428505047967162,0.8093
77,0.830399963674666,0.8113
78,0.8242731697951691,0.81
79,0.8157732203791414,0.812
80,0.8208944408953944,0.8103
81,0.8168529860581024,0.8134
82,0.8279461226885831,0.8135
83,0.8177251468730878,0.8127
84,0.8079047176656844,0.814
85,0.8111740056472488,0.8132
86,0.8129970665219464,0.8133
87,0.8196750690665426,0.8133
88,0.8091360511659067,0.8148
89,0.8230398263357863,0.8123
90,0.8497644564773463,0.8075
91,0.822567531956902,0.8115
92,0.8463735957688923,0.807
93,0.826756477355957,0.8115
94,0.8189015490344808,0.8122
95,0.8273795745040797,0.8111
96,0.8128768216960037,0.8132
97,0.8333446360841582,0.8094
98,0.8228559584557256,0.8124
99,0.8145719513862948,0.8131
100,0.822639741475069,0.8134
