round,loss,accuracy
1,2.592889388905296,0.5113
2,8.74702341345292,0.541
3,4.844522518447683,0.4929
4,8.898216585569743,0.5431
5,4.6030036980592755,0.6026
6,4.386861206609992,0.5706
7,7.622212754020208,0.5599
8,4.708433652225929,0.5874
9,6.125404825693445,0.5674
10,5.726667473587809,0.5904
11,6.725802711293667,0.569
12,4.908601884600483,0.5956
13,6.899535269676885,0.5734
14,2.82416491568843,0.7137
15,3.2652954964698115,0.7013
16,2.364932466156875,0.7444
17,2.601669479020034,0.7371
18,2.3726995836330365,0.7466
19,2.3198382311229464,0.7526
20,2.101502975331077,0.7622
21,2.2011261318303363,0.7676
22,2.4432660069646714,0.7428
23,2.217264175415039,0.7679
24,2.314671182934242,0.7485
25,2.241991011402275,0.7656
26,2.1553520582899264,0.7585
27,2.2529456811615183,0.7639
28,2.244651332686219,0.751
29,2.2809852482397344,0.7639
30,2.0365050880214834,0.7664
31,2.305097382279891,0.7592
32,1.9695790840100638,0.7767
33,2.0505802299402935,0.774
34,1.9217637581161306,0.782
35,2.1898118197163448,0.7593
36,2.064745373363736,0.7701
37,2.268972324419625,0.7559
38,2.3694842118251174,0.7528
39,2.3744671706911884,0.7531
40,1.9746694036676913,0.7788
41,2.236825147761574,0.76
42,1.9052291218238542,0.781
43,2.158451721638064,0.7689
44,1.9420827913887893,0.7823
45,2.167877197265625,0.7705
46,1.9650232127950162,0.7768
47,2.2876507541801354,0.7598
48,2.092490134359915,0.7723
49,2.1105884479570993,0.7708
50,2.0740457924106455,0.7718
51,2.1430966265593905,0.7723
52,2.2149909870534,0.7632
53,2.479020262066322,0.7535
54,2.2897351602964764,0.7601
55,2.41307843485965,0.7613
56,2.4138093598281283,0.7541
57,2.2891708702980718,0.7655
58,2.1175803655310523,0.7782
59,2.048162246052223,0.7817
60,2.1146043886112262,0.7746
61,2.0489862372603596,0.7822
62,2.3749373230753066,0.7638
63,2.2086508002462266,0.775
64,2.213638267939604,0.7711
65,2.1208319105679476,0.7793
66,2.2535694369786903,0.7708
67,2.03795528638212,0.7856
68,2.2337650800053077,0.77
69,2.1423865971685965,0.7803
70,2.5734125089041795,0.7524
71,2.13532645566554,0.7793
72,2.373050709313984,0.7632
73,1.937747138964979,0.7912
74,2.277705833881716,0.7698
75,2.0181770294527466,0.787
76,2.369344768644888,0.7676
77,1.9521059416517426,0.7916
78,2.14764389659785,0.7795
79,1.9808037009420274,0.7895
80,2.01776724374747,0.7864
81,1.9687205779401562,0.7892
82,2.303748702701134,0.772
83,1.984314137621771,0.7903
84,2.2769898659066308,0.7707
85,1.9288275573827043,0.7954
86,2.3018925718114347,0.7685
87,1.9756930289389212,0.7926
88,2.2555337133286875,0.7736
89,1.9727641419519353,0.7918
90,2.170601453962205,0.7801
91,1.9350326287595532,0.7937
92,2.0687212612055523,0.7844
93,1.9371127365510674,0.7924
94,2.276711088192614,0.7754
95,1.955688506742067,0.7928
96,2.1733053983012334,0.7793
97,1.9685886117476452,0.7936
98,2.182431106325946,0.7783
99,1.8866812322713151,0.7976
100,2.108972448336927,0.7856
