round,loss,accuracy
1,2.2944256897214093,0.1456
2,2.228194638143612,0.1617
3,2.172906199588051,0.2103
4,2.2135703986204125,0.1856
5,2.2273441809642165,0.1527
6,2.210628711724583,0.1602
7,2.1505194434636756,0.2119
8,2.1389890743207327,0.2232
9,2.1088576829886136,0.235
10,2.0881369898590862,0.2446
11,2.0644214726701566,0.2531
12,2.0428536315507526,0.266
13,2.027926867521262,0.2689
14,2.039858916137792,0.2679
15,2.007903830914558,0.2773
16,2.0111900402020804,0.2768
17,1.9795448795149597,0.2956
18,1.9665009568009195,0.3048
19,1.9637492065188251,0.2986
20,1.9259292536144015,0.3272
21,1.9659571300579022,0.3073
22,1.9366897163511831,0.3207
23,1.9491935379897491,0.3082
24,1.9071255695970752,0.3379
25,1.8879075050354004,0.3321
26,1.8951126638847062,0.3426
27,1.8617751779435556,0.3443
28,1.8771051953110514,0.3485
29,1.8456916205490692,0.3531
30,1.8261632542066937,0.3677
31,1.8078939507279215,0.3647
32,1.7897910951059075,0.3796
33,1.7865266558490223,0.3785
34,1.7700851808620404,0.3942
35,1.7528812658937671,0.3875
36,1.748104703577259,0.3959
37,1.7421158446541316,0.3991
38,1.7048692476900318,0.4059
39,1.698191356055344,0.4039
40,1.7037657755839675,0.4067
41,1.681747391254087,0.4136
42,1.6845607742478577,0.4115
43,1.6805182001258754,0.4125
44,1.6324619552757167,0.4231
45,1.6357923610300957,0.4258
46,1.6324607088596006,0.4252
47,1.635371688046033,0.4283
48,1.6224250582200062,0.4324
49,1.5954573350616648,0.4439
50,1.5886374757259707,0.4439
51,1.6047921542879902,0.439
52,1.5753946575937392,0.4457
53,1.567540921742403,0.4459
54,1.566560503802722,0.4538
55,1.562155254279511,0.4542
56,1.5494799870478957,0.4572
57,1.5276381622386883,0.4621
58,1.5461442364922053,0.4617
59,1.5312955575653269,0.4594
60,1.5281808451761174,0.4626
61,1.5069427158259139,0.4677
62,1.5102602077435843,0.4683
63,1.5008180066000056,0.4684
64,1.4954527963565876,0.4771
65,1.488961566852618,0.4743
66,1.4857772799986828,0.4756
67,1.4825718116156663,0.4769
68,1.481203387055216,0.4783
69,1.467992230306698,0.4829
70,1.462446768072587,0.4865
71,1.4639463319054133,0.4831
72,1.4588193742534783,0.49
73,1.441727232329453,0.4911
74,1.4466177406190317,0.4925
75,1.4501766343659992,0.4858
76,1.4411544271662264,0.4887
77,1.4359224612199808,0.4968
78,1.4342979871774022,0.493
79,1.4150061486642571,0.4952
80,1.4159307102613812,0.498
81,1.4154400946218757,0.4962
82,1.405315672295003,0.5008
83,1.4257945727698411,0.4897
84,1.4080308132533785,0.4998
85,1.3939757482914985,0.5023
86,1.3899979048137423,0.5059
87,1.3942548715615575,0.5048
88,1.3829923807820188,0.5087
89,1.3751057597655285,0.5112
90,1.3835968971252441,0.5114
91,1.3741362638111356,0.5095
92,1.3717310473888735,0.5156
93,1.374128927158404,0.5088
94,1.3666685970523689,0.514
95,1.3668897287755073,0.5156
96,1.3650156123728692,0.5127
97,1.3624136523355412,0.5166
98,1.3578978701482844,0.518
99,1.3529781072954588,0.5173
100,1.3598198573800582,0.5134
