round,loss,accuracy
1,2.304316249074815,0.1011
2,2.3006635738324515,0.1093
3,2.2883653399310533,0.1256
4,2.2449588172043424,0.1704
5,2.2586186626289466,0.1295
6,2.2073575424242624,0.1531
7,2.2108345695688754,0.1682
8,2.2423705300198327,0.1321
9,2.192389445968821,0.1601
10,2.1636139229883122,0.1677
11,2.16571339172653,0.1683
12,2.147638118719753,0.1667
13,2.0932986947554575,0.192
14,2.114135603361492,0.1802
15,2.1063190924970407,0.1892
16,2.0508139163632935,0.2072
17,2.072346814071076,0.2009
18,2.0599151698848868,0.2059
19,2.0757210888440096,0.2063
20,2.0349737134160875,0.2281
21,2.024710908720765,0.2182
22,2.003650076781647,0.2445
23,2.0330700331096407,0.2213
24,1.9756809186331834,0.2569
25,1.9887083814113955,0.2453
26,1.9579810009726994,0.2614
27,1.93506381179713,0.277
28,1.9377365459369709,0.2778
29,1.9123407059077975,0.2867
30,1.9184973647322836,0.286
31,1.89141975475263,0.3031
32,1.8964574985866305,0.2947
33,1.890081988105291,0.3122
34,1.8525849384597586,0.3148
35,1.8536252824566033,0.3146
36,1.8178811043123655,0.3363
37,1.8446357702907128,0.3203
38,1.811609248571758,0.3394
39,1.7952168983749197,0.3367
40,1.800942058804669,0.3441
41,1.787261984016322,0.3526
42,1.7868812204916267,0.344
43,1.7858105324491669,0.3561
44,1.7589468759826468,0.3569
45,1.7502571163298208,0.374
46,1.7507325109047225,0.3608
47,1.7349738440936124,0.3792
48,1.7160780595827707,0.3759
49,1.7053959897801847,0.3835
50,1.7072360968287987,0.3857
51,1.6915474390681786,0.3929
52,1.7168714245663415,0.387
53,1.6847427977791316,0.3897
54,1.6713481341736227,0.3968
55,1.695227555081814,0.3838
56,1.652772990963127,0.4062
57,1.6694103403936458,0.397
58,1.6563308238983154,0.4042
59,1.6427124572705618,0.4083
60,1.6529802808278724,0.4049
61,1.6302252464656588,0.4116
62,1.6734940824629385,0.3935
63,1.620000487641443,0.4174
64,1.6271227054958102,0.4102
65,1.613740030723282,0.4154
66,1.6208048379873927,0.418
67,1.6243362049513226,0.4101
68,1.5983226782158961,0.4238
69,1.6051301337495636,0.4149
70,1.5901764314385909,0.4262
71,1.6087046227877653,0.4191
72,1.572656970989855,0.4267
73,1.5858496397356443,0.4265
74,1.5791372951072982,0.4255
75,1.5691589871539344,0.4301
76,1.5780550166021419,0.4287
77,1.5599452755119227,0.4331
78,1.5649509354482722,0.432
79,1.5645628337618671,0.4281
80,1.5521131527574756,0.4348
81,1.553583718553374,0.4313
82,1.5558071860784217,0.4322
83,1.5495283015166657,0.4377
84,1.5324365745616864,0.4405
85,1.5431569512886336,0.4349
86,1.5310212509541572,0.445
87,1.5296553222438958,0.4431
88,1.5443760352798654,0.4449
89,1.5246403277674807,0.4475
90,1.5273109161401097,0.4418
91,1.523718397828597,0.4465
92,1.5326812991613075,0.438
93,1.5185714265968226,0.448
94,1.52414676509326,0.4447
95,1.5092357034924664,0.4503
96,1.5214471349233314,0.4433
97,1.5049869984011106,0.4545
98,1.5037853642355037,0.4511
99,1.4976931282236605,0.4552
100,1.5088001731075817,0.4493
