round,loss,accuracy
1,1.80286705493927,0.4455
2,2.2984437459631812,0.1009
3,1.3614269268663624,0.5221
4,1.475048090838179,0.5687
5,1.8723202355300324,0.569
6,1.5964063134374498,0.7621
7,1.0402648403674741,0.8671
8,0.6820289232308352,0.8915
9,0.4514801479593108,0.9176
10,0.31920044199575354,0.9303
11,0.2609666229897662,0.9381
12,0.21964273483881466,0.9421
13,0.19234932940217514,0.9496
14,0.17599953779408448,0.951
15,0.154738468554201,0.9581
16,0.14816283422840548,0.9595
17,0.1413351751015156,0.9595
18,0.13121164992121578,0.962
19,0.12822685250423,0.9636
20,0.12214735953160856,0.9648
21,0.12076400613553728,0.965
22,0.11386591389987476,0.9676
23,0.11184332107747846,0.9674
24,0.10705095391626222,0.9689
25,0.10524351914896618,0.9693
26,0.10280315646948883,0.9697
27,0.09642636500257716,0.9718
28,0.09717288088124199,0.9712
29,0.0936500193238777,0.9725
30,0.09357573879039788,0.9715
31,0.08916357586814586,0.9735
32,0.08901261504668789,0.9743
33,0.08400260727805427,0.9755
34,0.0860072631194386,0.9742
35,0.08001437520938395,0.9764
36,0.07882538827539928,0.9762
37,0.07883916943646449,0.9759
38,0.0768655752619475,0.9771
39,0.07572964241778289,0.9778
40,0.07562551082957748,0.9767
41,0.0755273862653471,0.9778
42,0.07200386062488431,0.978
43,0.07195215441265933,0.9792
44,0.07143633023988974,0.9788
45,0.07154230603246796,0.9786
46,0.07047967504948684,0.9783
47,0.06901186318328321,0.9789
48,0.06688836543921003,0.9802
49,0.06578223507584638,0.9798
50,0.06603781328922656,0.9799
51,0.06401918230274739,0.9804
52,0.06502512794155982,0.9802
53,0.0628035295079757,0.9812
54,0.06524791793648707,0.9805
55,0.06299971000444662,0.981
56,0.06348105649945704,0.9805
57,0.060475182084033643,0.9817
58,0.060727184344395474,0.9813
59,0.06074707004053023,0.9816
60,0.0598645627736615,0.9817
61,0.058363072937015516,0.9823
62,0.0630120640991571,0.9809
63,0.06193902069125089,0.9817
64,0.05990616529531588,0.9827
65,0.058825870515348364,0.9826
66,0.06043071292975882,0.9816
67,0.05731711220003582,0.9835
68,0.05847151820102848,0.9829
69,0.055826634452295125,0.9834
70,0.056147582141558725,0.9834
71,0.05610787984997968,0.9833
72,0.05594406195413734,0.9836
73,0.05450455590627964,0.9834
74,0.05553266822225621,0.9833
75,0.056251009373595534,0.983
76,0.05433586294983095,0.9848
77,0.052156592163152674,0.9842
78,0.053277222395622575,0.9846
79,0.05534051628149692,0.9835
80,0.052846997370464506,0.9842
81,0.05420045940088671,0.9839
82,0.05286362781228064,0.9843
83,0.05196726420795533,0.9842
84,0.05178749099931211,0.9847
85,0.054258635108833664,0.984
86,0.05175206273611078,0.9844
87,0.05128569101988076,0.9849
88,0.051464917159217846,0.9848
89,0.05030705795530893,0.9846
90,0.05044203823333963,0.9853
91,0.051121346149822,0.9847
92,0.05100661185280865,0.9852
93,0.049548018734225756,0.9847
94,0.05040831934272745,0.9854
95,0.04968532233060959,0.9852
96,0.04900101434943764,0.9852
97,0.050229033269209175,0.9854
98,0.048796429223848116,0.9853
99,0.04930569574640639,0.9854
100,0.04779538739451629,0.9854
