round,loss,accuracy
1,2.3046333759645874,0.1135
2,2.305414604235299,0.0982
3,2.2767299821105182,0.0985
4,2.0686994700492183,0.2827
5,2.156308162061474,0.1964
6,1.4765551889999002,0.657
7,1.1996287401718428,0.6313
8,1.0996564543699916,0.653
9,0.5658650734002078,0.8619
10,0.4356939869968197,0.8928
11,0.3604452877859526,0.9148
12,0.2660013620234743,0.9262
13,0.22715954451904266,0.941
14,0.22549018685859215,0.9382
15,0.22114586075649986,0.9398
16,0.20658025778594274,0.943
17,0.202131651907782,0.9455
18,0.19323976656209818,0.947
19,0.19524332140631315,0.9452
20,0.19386265422158602,0.9456
21,0.17803842692836364,0.9493
22,0.1769086653897185,0.951
23,0.17619848582610675,0.9498
24,0.17355681902764342,0.95
25,0.1687596797872382,0.9529
26,0.1658252655834997,0.9527
27,0.16259821946437977,0.9532
28,0.15821118811970647,0.9544
29,0.1522079232809004,0.9563
30,0.15310715405930636,0.9565
31,0.148904360040928,0.958
32,0.1508738106835775,0.9569
33,0.14643312137149558,0.9574
34,0.14126950345603348,0.9583
35,0.14047571583768895,0.9586
36,0.14029568309978216,0.9589
37,0.1350717026256968,0.9612
38,0.13637444356314932,0.9613
39,0.1387966008255659,0.9596
40,0.13253340363219568,0.9622
41,0.13313163247820037,0.9612
42,0.12944276949768013,0.963
43,0.12689811557154113,0.964
44,0.12815271579966986,0.9638
45,0.12926887903845857,0.963
46,0.12455542726277173,0.964
47,0.16248837540138372,0.9581
48,0.12764160484193435,0.9638
49,0.12277478154135656,0.9651
50,0.1268421269163395,0.9644
51,0.12104112488700997,0.9657
52,0.11820957742195247,0.967
53,0.11930209956179032,0.9666
54,0.11670143929710966,0.9679
55,0.11520496274851545,0.9673
56,0.11277794454223182,0.9677
57,0.11201346872663244,0.9674
58,0.10939261706286593,0.9685
59,0.1083458443408054,0.9689
60,0.10794962829279513,0.9685
61,0.10953964180566512,0.9688
62,0.10622666216944639,0.9687
63,0.10710445590629655,0.9689
64,0.10879023276310697,0.969
65,0.10719722520878326,0.9683
66,0.10451122494915477,0.9694
67,0.10464754606054837,0.9692
68,0.10320896582524705,0.9694
69,0.10331063274930738,0.9689
70,0.10550727093256303,0.969
71,0.10018974863570419,0.97
72,0.10240310230115547,0.9698
73,0.10098862802150034,0.9699
74,0.10009996209417388,0.9699
75,0.09880233353705299,0.9702
76,0.09830648361416415,0.9707
77,0.09807472627262195,0.9703
78,0.09833774455422181,0.971
79,0.09676803525867342,0.9707
80,0.0976207109619097,0.9705
81,0.09828210485321057,0.9712
82,0.09539332863126139,0.9709
83,0.09700439108647642,0.9708
84,0.09447851160812322,0.9715
85,0.09549510085224351,0.9707
86,0.09423698606617938,0.9716
87,0.09223847947955792,0.9716
88,0.09258576512890809,0.9716
89,0.0921736800036676,0.972
90,0.09024744686048737,0.9721
91,0.09088769029454576,0.9718
92,0.08921144913610872,0.9728
93,0.08980457492384918,0.9727
94,0.09019274958203063,0.9727
95,0.08952388620074792,0.9731
96,0.08886767542019157,0.9724
97,0.08858276799223916,0.9728
98,0.08817216659943232,0.9734
99,0.08973996601320945,0.9728
100,0.0899726410935739,0.9722
