round,loss,accuracy
1,2.2380741034881977,0.4437
2,2.1928784907618657,0.3836
3,2.095479850527606,0.3194
4,1.5633350610733032,0.7155
5,1.3879261107384404,0.7856
6,1.0998041343085374,0.8427
7,0.47806588833845115,0.9075
8,0.2414099984342539,0.9363
9,0.1776000457473948,0.9487
10,0.15380632582038076,0.9541
11,0.1388869138693885,0.9586
12,0.12496147935184403,0.9627
13,0.11985895225978634,0.9645
14,0.1098227828337304,0.9677
15,0.10541816703574378,0.9694
16,0.09998974650862473,0.9708
17,0.09214146637587654,0.9733
18,0.089781932389847,0.9738
19,0.0855458296048514,0.9737
20,0.08588548462478374,0.975
21,0.07961438299021154,0.9758
22,0.07562710566643649,0.9769
23,0.0735182694824047,0.9781
24,0.07178875012175899,0.9782
25,0.07050117426990278,0.9784
26,0.06901670371394462,0.9802
27,0.06599105039981336,0.9811
28,0.0674706614577017,0.9793
29,0.06375270541661561,0.9807
30,0.06245156931318785,0.9807
31,0.061269067447776965,0.9816
32,0.05888144752910343,0.982
33,0.057804165580059415,0.9825
34,0.05755296649792249,0.9824
35,0.05794438564430781,0.9824
36,0.0573704327973154,0.9826
37,0.05628888271682707,0.9828
38,0.05572801140447212,0.9835
39,0.055076670158938856,0.9833
40,0.05339748905238525,0.9839
41,0.052797701168982934,0.9839
42,0.05234961360175372,0.984
43,0.05261274626242038,0.9838
44,0.0519732477484548,0.9839
45,0.052241463977305655,0.9844
46,0.050547913890781435,0.9845
47,0.050529960222867217,0.984
48,0.050219599950006466,0.9842
49,0.05005036932193376,0.9842
50,0.04874337754863288,0.9844
51,0.047949061339612034,0.9849
52,0.048189572050144805,0.9848
53,0.047921741787820195,0.9847
54,0.04723706901057983,0.9854
55,0.047318851941079494,0.9852
56,0.047292029657380885,0.9849
57,0.047317253852512134,0.9853
58,0.046823801639163054,0.9854
59,0.04633999783613887,0.9853
60,0.04698663958849546,0.985
61,0.0457991033330058,0.9853
62,0.0446511204165198,0.9858
63,0.0455502679536419,0.9854
64,0.045049891281474005,0.9858
65,0.04444547209254491,0.9854
66,0.04574846377635126,0.9856
67,0.0456369962928967,0.9861
68,0.045158402540218495,0.9858
69,0.044566320601075814,0.986
70,0.04444257723844203,0.9862
71,0.04384595215937156,0.9859
72,0.04481010789744618,0.9858
73,0.043785278766416566,0.986
74,0.043960751437144965,0.9861
75,0.043250558822146096,0.9862
76,0.043230216942384124,0.9864
77,0.04266816180922974,0.9863
78,0.0425297364407683,0.9861
79,0.04312743644675697,0.9865
80,0.04324697081665363,0.9862
81,0.043570187664954574,0.9863
82,0.04256996016771799,0.9864
83,0.04349954492835987,0.9864
84,0.04302806183859157,0.9865
85,0.044092470499717935,0.9864
86,0.0427902048902035,0.9869
87,0.04283062565741314,0.9865
88,0.04219552884295567,0.9869
89,0.04273630949554197,0.9867
90,0.04230104795680768,0.9872
91,0.0428367202303699,0.9867
92,0.04174034118722939,0.9871
93,0.04143310308473368,0.9878
94,0.041458348829394975,0.9876
95,0.0418102180729138,0.9877
96,0.04135825230214841,0.9875
97,0.04231797862165347,0.9871
98,0.04272732150744974,0.9874
99,0.042264309184561116,0.9875
100,0.0425972660680807,0.9874
