round,loss,accuracy
1,2.0047628683379934,0.6997
2,2.114464053624793,0.5439
3,2.1765911216977276,0.2354
4,1.9832935303072385,0.4571
5,2.0305879478213154,0.3374
6,0.97533860764926,0.7452
7,0.8041292738310898,0.8433
8,0.6494641405872151,0.8784
9,0.4583980109118208,0.9196
10,0.28089711286976365,0.9365
11,0.1979515722516594,0.9451
12,0.1723678904950996,0.9503
13,0.1563064175764028,0.954
14,0.1445432882402328,0.958
15,0.13707959554983373,0.9599
16,0.13158641818946204,0.9611
17,0.12485918819998638,0.9633
18,0.11983448914340639,0.9637
19,0.11435187425128408,0.9659
20,0.10947800187918628,0.9661
21,0.10984640660153443,0.9666
22,0.10955623680684433,0.9659
23,0.10512423832441055,0.9675
24,0.10578923085645502,0.9678
25,0.1037066912225483,0.9681
26,0.09999227684427382,0.9683
27,0.09745893174416939,0.9695
28,0.09659372435814902,0.9701
29,0.09472701276057176,0.9703
30,0.0931349063249411,0.9706
31,0.09562605939720038,0.971
32,0.09037883820445454,0.9724
33,0.08955428803183398,0.9723
34,0.08903370179675071,0.9728
35,0.08896102344682086,0.9723
36,0.08576156717137128,0.9737
37,0.08648176149493142,0.9733
38,0.08656984734270852,0.9738
39,0.0849720779607438,0.9741
40,0.08450766056304491,0.9737
41,0.08282080677130166,0.9751
42,0.07996289171219532,0.9753
43,0.07957311843955135,0.9751
44,0.07984723952338041,0.9756
45,0.07796972171776291,0.9762
46,0.07796178588421154,0.9756
47,0.0795061521414856,0.9763
48,0.07820334538148387,0.9759
49,0.07881715298001064,0.9758
50,0.07640389740209927,0.976
51,0.07776814868859357,0.9766
52,0.0758815621719563,0.9766
53,0.0753010163799111,0.9765
54,0.0731443259168764,0.9777
55,0.07466426166179709,0.9773
56,0.07392018876584465,0.9775
57,0.07333499430369327,0.9783
58,0.07368096492427867,0.978
59,0.07323837663007228,0.9787
60,0.07189840928701495,0.9785
61,0.07160128022380514,0.9778
62,0.0712898093269463,0.9788
63,0.07185827564286758,0.9784
64,0.07201514523468994,0.9788
65,0.07312588305566224,0.9787
66,0.07299302573499264,0.9786
67,0.07232155624550142,0.9787
68,0.07111861301833598,0.9793
69,0.06976778498836764,0.9793
70,0.0702617328858616,0.979
71,0.0706512391634648,0.9793
72,0.0692747633392507,0.9794
73,0.06897468636544787,0.9792
74,0.06888059684376768,0.9795
75,0.06919908181644822,0.9795
76,0.0681229549557003,0.9793
77,0.06820552120363942,0.9798
78,0.06929608627223952,0.9793
79,0.06807844041510709,0.98
80,0.06887880057892969,0.9798
81,0.06932014868689754,0.9799
82,0.06977196487423498,0.9799
83,0.0691239422887543,0.9802
84,0.0682107757392363,0.9798
85,0.06711494600395908,0.9801
86,0.0677063943344077,0.9803
87,0.06687967144350722,0.9804
88,0.06756658600039096,0.9802
89,0.06668535579836639,0.9806
90,0.06710393495560783,0.9805
91,0.06621623500817621,0.9804
92,0.0664907135804334,0.9806
93,0.06675317225468645,0.9801
94,0.06572442147029782,0.9805
95,0.06625829243872615,0.9802
96,0.06668986213140048,0.9805
97,0.06709056027411171,0.9806
98,0.06641800585377865,0.9805
99,0.06595383908638666,0.9805
100,0.06531595185939135,0.9809
