round,loss,accuracy
1,2.2998738862291166,0.1135
2,2.260586029366602,0.2081
3,2.191118572331682,0.4238
4,2.0455572288247605,0.4796
5,1.800870323482948,0.6417
6,1.3414090826541563,0.7655
7,1.0011401961121378,0.8054
8,0.722169799140737,0.8685
9,0.5473347464694253,0.9035
10,0.39337158071089395,0.9176
11,0.2939493113869353,0.9292
12,0.2371501705927562,0.9388
13,0.21222514126308356,0.9428
14,0.1899948571513914,0.9474
15,0.1817713651593916,0.9493
16,0.1664230968284456,0.9523
17,0.1592069112318509,0.9558
18,0.15150259866650345,0.9577
19,0.14475415931142208,0.9606
20,0.1385360505620513,0.9622
21,0.1319298273146954,0.9646
22,0.1289913203166444,0.9646
23,0.12481314721340432,0.9652
24,0.1208419908851951,0.9664
25,0.11620895101252614,0.9676
26,0.11284437151684697,0.9685
27,0.1088126219184244,0.9701
28,0.10577286043074689,0.9713
29,0.10476861726433699,0.9705
30,0.10071757882745064,0.9714
31,0.09761860388142493,0.9724
32,0.09605988903896577,0.9727
33,0.09329421130816534,0.973
34,0.09115113375732038,0.9741
35,0.0900916822720319,0.9743
36,0.08707669821620884,0.9744
37,0.08576490461923583,0.9754
38,0.08431260987137786,0.9753
39,0.08371870344964481,0.9757
40,0.08253928309577648,0.976
41,0.08109972987153061,0.9767
42,0.07919601307698537,0.9764
43,0.07949936352788081,0.9762
44,0.07805857705718637,0.9768
45,0.07722821842755273,0.9769
46,0.07610875619479597,0.9769
47,0.07602457797207834,0.9773
48,0.07426908191314109,0.9773
49,0.07269910186428954,0.9785
50,0.0724546720356315,0.9779
51,0.07242495292035828,0.9783
52,0.07097083984806403,0.979
53,0.06995235425950605,0.9793
54,0.07011059475429002,0.9791
55,0.06859624175144112,0.9797
56,0.06856110596239473,0.98
57,0.06781034836438013,0.98
58,0.06759712388414796,0.9801
59,0.06682119665142809,0.9806
60,0.06585741269032329,0.9803
61,0.065487804628107,0.9805
62,0.06555997664709369,0.981
63,0.06439998595665145,0.9804
64,0.06462573823872718,0.9807
65,0.06403092944609956,0.9804
66,0.06356236500491659,0.9814
67,0.06250629815548553,0.982
68,0.06303304267672916,0.9821
69,0.06265408788123197,0.9819
70,0.06252770713892253,0.9813
71,0.061854191633019466,0.9819
72,0.06153924830251998,0.9821
73,0.06145997413546819,0.9819
74,0.06063992628950001,0.9818
75,0.06089369575747236,0.9818
76,0.0604181539903165,0.9815
77,0.060100845972671395,0.9821
78,0.06023776833862479,0.9824
79,0.0595868823565749,0.9824
80,0.05864684337667555,0.9829
81,0.05917929347933865,0.9829
82,0.058568221287852704,0.9828
83,0.05834502711605879,0.9829
84,0.057821014530118994,0.983
85,0.057535835860084886,0.983
86,0.05750353355918528,0.9832
87,0.05721406857453617,0.9832
88,0.057449334495387014,0.9831
89,0.05692458609397202,0.9831
90,0.05676339468970317,0.9831
91,0.05644468586610798,0.983
92,0.0565609824621742,0.9829
93,0.057005420151642595,0.9834
94,0.056862609746830564,0.9828
95,0.05636127081646619,0.9829
96,0.0562940021677317,0.9834
97,0.05607016601922474,0.9833
98,0.055950542814260394,0.983
99,0.05494319447323597,0.9834
100,0.055257663334210706,0.9835
