round,loss,accuracy
1,2.301341959192783,0.117
2,2.2970609363121324,0.164
3,2.278614035135583,0.1882
4,2.149361604376684,0.2097
5,2.1034629827813256,0.2385
6,2.1620798503296283,0.2372
7,2.1282967374294617,0.2514
8,2.1233645964272414,0.2577
9,2.106535347202156,0.259
10,2.101250583612466,0.2656
11,2.100043034251732,0.2631
12,2.0948250323911255,0.2834
13,2.084990724732604,0.2823
14,2.0796843148485014,0.295
15,2.0774989399728896,0.3011
16,2.064035678211647,0.3134
17,2.06124469901942,0.3135
18,2.0590120629419255,0.3114
19,2.046110725101036,0.3184
20,2.0409735697734206,0.321
21,2.027524332456951,0.3243
22,2.029038165189043,0.3145
23,2.0181132147583782,0.3212
24,2.0120440480075303,0.3176
25,2.0040020595622967,0.3259
26,1.9949742781965039,0.3245
27,1.9919120450563068,0.3182
28,1.9770505865917931,0.3227
29,1.978268905531002,0.3225
30,1.968316929249824,0.3289
31,1.9661532082135165,0.3269
32,1.954682867738265,0.3338
33,1.9440759933447536,0.3359
34,1.9454115538657466,0.3339
35,1.939331652242926,0.3395
36,1.9351230075087729,0.3398
