round,loss,accuracy
1,2.2999070113218285,0.1118
2,2.288828176788137,0.2128
3,2.1829365054263343,0.2244
4,2.1838402023798302,0.2484
5,2.1622818180277377,0.2212
6,2.1255430843256695,0.2934
7,2.130830363382267,0.2741
8,2.092656965497174,0.3092
9,2.125087372864349,0.2747
10,2.076789691478391,0.3176
11,2.0709414029423194,0.3212
12,2.045876478847069,0.3207
13,2.0347982373418687,0.3375
14,2.0113026386574853,0.343
15,1.9932822487022304,0.3486
16,1.9695484577854978,0.3507
17,1.9560358886477314,0.3549
18,1.9575449680980248,0.3602
19,1.908198880243905,0.3637
20,1.9026418230201625,0.3723
21,1.9003270306164706,0.3652
22,1.8715587718577325,0.372
23,1.8659480417831034,0.371
24,1.8590703674509554,0.3783
25,1.8351553935038893,0.3784
26,1.8390472523773773,0.3784
27,1.8124265067185028,0.3848
28,1.8084155336210999,0.3868
29,1.805307539203499,0.3876
30,1.778371841092653,0.397
31,1.7809252723862854,0.3871
32,1.7503600890123392,0.4004
33,1.7576856251004376,0.4029
34,1.739522336404535,0.4002
35,1.7298069483117213,0.4067
36,1.7331162872193735,0.4031
37,1.7095851068255268,0.4053
38,1.702338950543464,0.4159
39,1.7003544116321998,0.4134
40,1.700620195533656,0.4138
41,1.6659641552575026,0.4194
42,1.6693567852430706,0.4196
43,1.6627666874776912,0.4251
44,1.6668483245221875,0.4256
45,1.6420108985297288,0.4342
46,1.6502811244771451,0.4274
47,1.634819032270697,0.4304
48,1.6328154666514336,0.4328
49,1.6220081969152522,0.4352
50,1.6258671977851964,0.4355
51,1.619638070275512,0.4362
52,1.609573773190945,0.4387
53,1.604523627063896,0.4423
54,1.5973733723918093,0.4395
55,1.5933773351621023,0.4479
56,1.5850864331933516,0.4473
57,1.5773603870898862,0.4472
58,1.5806012304523323,0.4435
59,1.5729044479659842,0.4552
60,1.5629851516289046,0.4525
61,1.566381972047347,0.4522
62,1.5517932644373253,0.4567
63,1.5546235540245152,0.4575
64,1.5434793339499944,0.4616
65,1.5476456820210325,0.4546
66,1.5422521241103546,0.4585
67,1.5409689673894569,0.4593
68,1.5271185108377963,0.4607
69,1.5295182587225227,0.4592
70,1.528559819052491,0.454
71,1.5171389866478835,0.4609
72,1.5165971381754815,0.4598
73,1.5028109218500838,0.4681
74,1.5152778731116765,0.4635
75,1.5071796299536018,0.4655
76,1.5043807708764378,0.4638
77,1.4929488007026384,0.4677
78,1.5035772338698181,0.4669
79,1.496114380751984,0.4695
80,1.4861070626898656,0.4706
81,1.4799615114550047,0.4712
82,1.478399764133405,0.4754
83,1.4743311269373833,0.4728
84,1.4639871150632449,0.4769
85,1.4645823813691925,0.4789
86,1.4570334591443026,0.4769
87,1.4644050447246697,0.4776
88,1.459414438356327,0.4802
89,1.4628111350385449,0.4782
90,1.4479696705371519,0.4832
91,1.447150772130942,0.4822
92,1.4465489251704156,0.4819
93,1.4471842789951759,0.4837
94,1.4551008487049537,0.4795
95,1.4374175614948514,0.4824
96,1.4346558217760883,0.4875
97,1.4367232805565944,0.4833
98,1.4308371453345576,0.4864
99,1.4264198556731018,0.4882
100,1.4209762660762932,0.4895
