round,loss,accuracy
1,2.2994174172606647,0.1306
2,2.292534689360027,0.1248
3,2.276819014851051,0.1293
4,2.2489603229715853,0.149
5,2.209533003312123,0.175
6,2.2199638523632967,0.1378
7,2.2063059837003296,0.1575
8,2.197133996818639,0.1625
9,2.190060911299307,0.1693
10,2.193225782128829,0.1594
11,2.1907347606707224,0.1589
12,2.1906658426115784,0.1575
13,2.1872549057006836,0.1603
14,2.186139767683005,0.1587
15,2.1833876748628254,0.161
16,2.1851662503013127,0.1576
17,2.184730412084845,0.1569
18,2.1836111424844478,0.1572
19,2.1823742087883287,0.1573
20,2.1798029911668997,0.1602
21,2.180305861219575,0.16
22,2.177432310732105,0.1638
23,2.1775911699367474,0.164
24,2.176258618318582,0.1671
25,2.1709595994104314,0.1714
26,2.170773681206039,0.1708
27,2.1691388751887066,0.1742
28,2.171303377875799,0.1699
29,2.1715800611278677,0.1695
30,2.1678129328957088,0.1749
31,2.1673810300947745,0.1743
32,2.167314713514304,0.1754
33,2.165526993667023,0.1785
34,2.1662601368336736,0.1764
35,2.165862379194815,0.1757
36,2.165223897257938,0.1752
37,2.16480958009068,0.1758
38,2.1630658922316153,0.1776
39,2.1628403542916987,0.1779
40,2.162517345404323,0.1782
41,2.161662056476255,0.1786
42,2.161730162705047,0.1776
43,2.1602282614647588,0.1772
44,2.1606992618947087,0.178
45,2.157964799977556,0.1813
46,2.1564566153514235,0.1826
47,2.156695181810403,0.1792
48,2.1572192590447923,0.1795
49,2.1553165429755103,0.1817
50,2.1559533378745934,0.1811
51,2.1552921307237844,0.1805
52,2.1549721760085867,0.1814
53,2.154704115058802,0.1807
54,2.1548005780087243,0.1805
55,2.1545679569244385,0.1801
56,2.1536780791946604,0.181
57,2.150553926636901,0.184
58,2.1495981488046767,0.1849
59,2.148161414303357,0.1852
60,2.1477032945125916,0.1853
61,2.146427640432044,0.1865
62,2.1471378803253174,0.1849
63,2.1443356290648254,0.1864
64,2.1458127528806274,0.1844
65,2.145280753509908,0.1869
66,2.142850202850149,0.1878
67,2.1440219426456886,0.1856
68,2.141946979715854,0.1874
69,2.1430482532404644,0.1873
70,2.14115700842459,0.188
71,2.139527357077297,0.1891
72,2.140018891684617,0.1891
73,2.1387578596042682,0.1881
74,2.138380198539058,0.1865
75,2.1362494969669776,0.1911
76,2.135665528381927,0.1904
77,2.135206877430783,0.1909
78,2.133807855316355,0.1925
79,2.1336211675330055,0.1921
80,2.131792083571229,0.1915
81,2.131878203983548,0.1935
82,2.129268591917014,0.1948
83,2.129177347014222,0.1948
84,2.1295302034933354,0.1936
85,2.128792373439934,0.1941
86,2.125789319412618,0.1986
87,2.1238572144810157,0.1988
88,2.1244018862519085,0.1992
89,2.1219979992395714,0.2009
90,2.123501394368425,0.1988
91,2.1224015845528132,0.1996
92,2.1213952499099924,0.1995
93,2.1193946645229675,0.2035
94,2.119123455844348,0.2037
95,2.1190231631073773,0.2036
96,2.1169200215158583,0.2052
97,2.11644758453852,0.2053
98,2.1148699959622155,0.2081
99,2.1131740521781053,0.2083
100,2.112479484533962,0.2094
