round,loss,accuracy
1,2.302195874950554,0.1003
2,2.299723474285271,0.1
3,2.2906496675708627,0.1
4,2.254898910281024,0.1364
5,2.2050223109088365,0.1597
6,2.2124352485318726,0.1441
7,2.1827699926835074,0.1598
8,2.175658920143224,0.1851
9,2.150142343738411,0.1928
10,2.1495065206213844,0.1816
11,2.1297303091121624,0.1971
12,2.131901052933705,0.1963
13,2.117478041709224,0.2087
14,2.0988863948025283,0.2292
15,2.0904968961884705,0.2298
16,2.0576289560221417,0.2523
17,2.059178996689712,0.2556
18,2.04966955848887,0.2584
19,2.040447754195974,0.267
20,2.0342947335182866,0.2714
21,2.0184745109533964,0.2791
22,2.01851177366474,0.2799
23,2.0008128036426593,0.2864
24,1.9978630754012097,0.295
25,1.986830887915213,0.2912
26,1.9733813005157663,0.2973
27,1.9722368068332914,0.3042
28,1.9608782861806169,0.3105
29,1.9446581164492835,0.3156
30,1.9310174365586872,0.3246
31,1.9280629339097421,0.3189
32,1.9151081737083724,0.3279
33,1.899016156981263,0.3291
34,1.8933576209635674,0.3337
35,1.8814300087433826,0.3374
36,1.8672271740587452,0.3447
37,1.8651130637036095,0.3349
38,1.861846629577347,0.3476
39,1.8453531023822254,0.3434
40,1.8349836219715168,0.3514
41,1.8340296111529386,0.3519
42,1.8244896372662316,0.3607
43,1.82276075097579,0.3577
44,1.7954860910584656,0.3653
45,1.7964134774630582,0.3657
46,1.7961142817630043,0.3673
47,1.7861561880836003,0.3704
48,1.7722887540165382,0.3764
49,1.758092327962948,0.3786
50,1.7577093734016902,0.3796
51,1.7545138672937322,0.3812
52,1.7436894706532926,0.3905
53,1.745577490782436,0.3891
54,1.7334093277967428,0.3899
55,1.738946544973156,0.3913
56,1.7238994987705085,0.394
57,1.7198956887933272,0.4022
58,1.7069572783723663,0.3993
59,1.7071027061607265,0.3991
60,1.7109012166156043,0.4
61,1.6915084138701233,0.404
62,1.698034185397474,0.4023
63,1.6874822710133806,0.4065
64,1.6722055417072923,0.4072
65,1.6766678713545013,0.4061
66,1.677655037445358,0.4099
67,1.6663488194912295,0.4127
68,1.6754757211178164,0.4123
69,1.6545720024953914,0.4147
70,1.6731983377963682,0.4112
71,1.6542432836339445,0.4125
72,1.6440699885163126,0.4176
73,1.6549271254599849,0.4149
74,1.6437552443033532,0.4186
75,1.6338228922856004,0.4194
76,1.6364764669273473,0.4211
77,1.6188690707653384,0.4231
78,1.6227104165886022,0.4226
79,1.6209822319730927,0.4236
80,1.6203266201140005,0.426
81,1.614473001866401,0.4298
82,1.6142564574374427,0.4271
83,1.6077407085442845,0.431
84,1.6034966933576367,0.4312
85,1.5985044980350929,0.4319
86,1.59479626070095,0.4335
87,1.6005065637298777,0.4308
88,1.591674964639205,0.433
89,1.5848052018805394,0.4337
90,1.588483772700346,0.4371
91,1.5837726351581043,0.436
92,1.582467617867868,0.4385
93,1.5731284708916387,0.438
94,1.5722041824195958,0.4382
95,1.5726432830472536,0.4386
96,1.5705860340142552,0.4364
97,1.5680368082432807,0.4419
98,1.558826752855808,0.4422
99,1.5729324002809162,0.4387
100,1.5599126634718496,0.4455
