round,loss,accuracy
1,1.927695481083061,0.5536
2,2.00052059451236,0.3782
3,2.0267874726766273,0.5218
4,2.3012693712982952,0.142
5,1.507586805126335,0.5374
6,1.3713983659502826,0.653
7,1.7164649133440815,0.5835
8,1.217918798893313,0.7216
9,1.0942217579370812,0.7695
10,0.8533552206015285,0.8269
11,0.8072977511188651,0.8563
12,0.7229350356361534,0.8692
13,0.6141006448600865,0.8833
14,0.5331135471410389,0.8942
15,0.4713874085794521,0.905
16,0.43869168509410905,0.912
17,0.40284459821031066,0.9155
18,0.3675072093175936,0.9206
19,0.3264093055755277,0.9255
20,0.30809296101708955,0.9292
21,0.29624807579985146,0.9313
22,0.28418194379987594,0.9317
23,0.2680576460176631,0.9339
24,0.2589217413546918,0.9356
25,0.25294561802020554,0.9369
26,0.24450346412537974,0.9382
27,0.24018154019796395,0.9384
28,0.23612134234060214,0.939
29,0.23449405942913853,0.94
30,0.22849711653175234,0.9412
31,0.22361030174961574,0.9418
32,0.22258084889831423,0.9419
33,0.21739919728870633,0.9432
34,0.21398238229412067,0.943
35,0.2113450361958033,0.9433
36,0.2081910386870179,0.9444
37,0.20463264775992948,0.9442
38,0.20323568945632706,0.9451
39,0.20145452831270574,0.9458
40,0.1990366271119329,0.9459
41,0.19652124173656293,0.9461
42,0.19486091696197474,0.9463
43,0.1941264218450347,0.9468
44,0.19156804921317705,0.9473
45,0.1896402543952948,0.948
46,0.18908003378140775,0.9478
47,0.18752659831337537,0.9478
48,0.18645550020604948,0.9484
49,0.18483742460891417,0.9491
50,0.18350354789555828,0.9496
51,0.18217345638365684,0.949
52,0.1813931957453112,0.9494
53,0.17994583171756962,0.9492
54,0.17899084011022048,0.9499
55,0.17661754086707968,0.9492
56,0.17631437134327768,0.9497
57,0.17575348152107076,0.9498
58,0.17451041418163082,0.9503
59,0.17378245751503146,0.9504
60,0.17235602322918706,0.9506
61,0.17228705085861154,0.9509
62,0.17172003405380853,0.9509
63,0.17044446060929117,0.9511
64,0.16997705252628914,0.9512
65,0.16899543444189843,0.9511
66,0.16866657904148857,0.9515
67,0.1682609407749923,0.9517
68,0.16743221123337368,0.952
69,0.1669131799754274,0.9518
70,0.16627303987175604,0.9519
71,0.16586026471532597,0.9523
72,0.16521623744806158,0.9525
73,0.16433967882177875,0.9531
74,0.16364696132655762,0.9529
75,0.1629254347350024,0.9531
76,0.16249783129631717,0.9536
77,0.1615828789440514,0.9536
78,0.16140121098937868,0.9537
79,0.16088151337602472,0.9539
80,0.16038904003091628,0.9537
81,0.16002647674206313,0.9538
82,0.15945737831341691,0.9545
83,0.1590190284142766,0.9546
84,0.15808650775800778,0.9549
85,0.15703794407316402,0.9549
86,0.1569692429296578,0.9553
87,0.1567132329992667,0.9548
88,0.1564494879161821,0.955
89,0.15614900143840646,0.9552
90,0.15557226618822617,0.9555
91,0.15520815850718866,0.9556
92,0.15496339470949733,0.9558
93,0.15429584170349792,0.9557
94,0.1540710453203396,0.9557
95,0.1535576839188609,0.956
96,0.1533913670367078,0.9562
97,0.15288235770562028,0.9562
98,0.1525111059905796,0.9562
99,0.15231730837280613,0.9565
100,0.15223554153985616,0.9563
