round,loss,accuracy
1,1.938109716282615,0.4635
2,2.119108124624325,0.3845
3,1.9344034511831742,0.6211
4,1.9192952838125108,0.457
5,2.1145657044422776,0.2768
6,1.7569123038762733,0.5628
7,2.0055850216105013,0.4599
8,1.1286061428770233,0.7557
9,1.2662837022467504,0.7482
10,0.958853335320195,0.8393
11,0.79434123220323,0.8529
12,0.6811393042908439,0.8818
13,0.4451268594476241,0.9054
14,0.34624581359609774,0.9228
15,0.28251860535974743,0.9312
16,0.244987131061056,0.9352
17,0.22719906812793092,0.9379
18,0.2005093056189863,0.9416
19,0.18184283711723512,0.9465
20,0.1739674279867094,0.9482
21,0.16860066330696963,0.9495
22,0.1623461422616545,0.9505
23,0.1524002961224959,0.9521
24,0.14914902363302587,0.9533
25,0.14663270398785797,0.9542
26,0.14175409518323745,0.9548
27,0.13958765107761079,0.9557
28,0.13042260486561852,0.9599
29,0.13048270164953568,0.9582
30,0.12825936384357606,0.9593
31,0.12492169864782238,0.9606
32,0.1231121511340047,0.9617
33,0.12336132043524634,0.9614
34,0.11705248575964117,0.9626
35,0.11908325589485938,0.9621
36,0.11513641155973266,0.9634
37,0.11467065712837857,0.9645
38,0.11286014757013019,0.9651
39,0.11036576239887295,0.965
40,0.1099791675747101,0.9663
41,0.10850364566910305,0.9666
42,0.10811049841886645,0.9674
43,0.10497808946249416,0.9676
44,0.10567852498114674,0.9676
45,0.10537983174730517,0.9674
46,0.10148262368114311,0.9685
47,0.09977726497881916,0.9688
48,0.09888790748258934,0.9692
49,0.0997245030439329,0.9691
50,0.09469334015186547,0.9706
51,0.09598511674948319,0.9703
52,0.09454182204731469,0.9708
53,0.09423536096723113,0.971
54,0.09346060217299228,0.9713
55,0.09178442829819042,0.9715
56,0.09068746463015463,0.9724
57,0.08986590439940013,0.9726
58,0.09071712684228167,0.9719
59,0.08941813661640251,0.9727
60,0.08731849398095562,0.9733
61,0.08626413325443157,0.9731
62,0.08735510852862786,0.9731
63,0.08649948234168836,0.9741
64,0.085492973845847,0.9742
65,0.08541069861908172,0.9736
66,0.08416257806923948,0.9744
67,0.08417840861815581,0.9743
68,0.08360336059586534,0.9747
69,0.08249877980627308,0.9743
70,0.0827569802486208,0.9746
71,0.08095745962920681,0.9749
72,0.08116134777783027,0.9752
73,0.08157137252207657,0.975
74,0.08053319575854495,0.9749
75,0.07777573181024482,0.9757
76,0.07825754546925803,0.976
77,0.08092142227533143,0.975
78,0.08011317887207894,0.9755
79,0.07846265731016881,0.9759
80,0.07777407181654067,0.9761
81,0.07720727748473329,0.9762
82,0.0781609286993294,0.9758
83,0.07881297933562553,0.9761
84,0.07537308219183661,0.9769
85,0.07510057913988263,0.9762
86,0.07536652336144654,0.9766
87,0.07504270838491053,0.9767
88,0.07651564173026104,0.9757
89,0.07583660308029974,0.976
90,0.07533322311525198,0.9767
91,0.07237808357871173,0.9772
92,0.07271752056306158,0.9772
93,0.07414718348417973,0.9761
94,0.0735016144182875,0.9766
95,0.07186672941979044,0.9775
96,0.07293164830203934,0.977
97,0.07309000865413359,0.9768
98,0.07252132891687635,0.977
99,0.0709480710865125,0.9775
100,0.07095048837606865,0.9777
