round,loss,accuracy
1,2.297951538351518,0.1135
2,2.1295787956141217,0.5041
3,2.1053020320361173,0.5633
4,1.706513364103776,0.5673
5,1.0808907739723785,0.7427
6,0.9904630825489382,0.8245
7,0.7825785151010827,0.8347
8,0.6507175870334045,0.8655
9,0.53984980228581,0.8888
10,0.46302666090711764,0.8999
11,0.4252081969870797,0.9086
12,0.36203711753404594,0.9181
13,0.3236611511888383,0.9258
14,0.2906829513892343,0.9299
15,0.26806641752018207,0.9354
16,0.26546910042061084,0.9364
17,0.2335671208610263,0.9409
18,0.21266526370486127,0.9447
19,0.20145154055915301,0.9461
20,0.1933389109901235,0.9482
21,0.18419595185337187,0.9485
22,0.17369049719145782,0.9512
23,0.16765748157720023,0.9537
24,0.15911069657370636,0.9551
25,0.1551422660321563,0.9562
26,0.14861567146321641,0.9576
27,0.1479708617199448,0.9587
28,0.13716270055480395,0.9601
29,0.13566045074051694,0.9604
30,0.1321994227097853,0.9614
31,0.13003661134574987,0.9622
32,0.12552685976099176,0.9627
33,0.12188232539787511,0.9651
34,0.12272470379012483,0.9659
35,0.11914506277564584,0.9659
36,0.11651206185121703,0.9653
37,0.11397684603057141,0.9665
38,0.11029745747417777,0.9672
39,0.10973375828205785,0.9672
40,0.10686740830033735,0.9688
41,0.10620292492470221,0.9685
42,0.10416033594939811,0.9697
43,0.10188946300598828,0.9698
44,0.10121165031472905,0.9699
45,0.0994930522268803,0.9706
46,0.09914503725174861,0.9715
47,0.09673868758674664,0.9712
48,0.09621794260979359,0.9716
49,0.09443143589858295,0.9727
50,0.09428082818100583,0.9721
51,0.09311687164715951,0.9725
52,0.0918655324597619,0.9731
53,0.09051342038260891,0.9736
54,0.08818113080320196,0.9741
55,0.08813298840806642,0.9736
56,0.0867969335566711,0.9738
57,0.08538701714464475,0.9748
58,0.08484777313645316,0.9745
59,0.08402386294159142,0.9754
60,0.08340430242315972,0.9743
61,0.08193699699749911,0.9748
62,0.08223155900081501,0.9747
63,0.0811826632110567,0.975
64,0.08051080463153511,0.9756
65,0.07967802055940457,0.9756
66,0.07879773107109757,0.9758
67,0.07886557519595033,0.9764
68,0.0778891535408064,0.9759
69,0.07758102360287611,0.9764
70,0.0761600063378404,0.9762
71,0.07652585933064524,0.9772
72,0.07598265725824557,0.9767
73,0.07565515266754959,0.977
74,0.07480942120752003,0.9772
75,0.07374140340245411,0.9776
76,0.074254286804095,0.9777
77,0.07333251063216807,0.9771
78,0.07178633176070297,0.978
79,0.07206823571166614,0.9783
80,0.07197401128838994,0.9773
81,0.07067723425187736,0.9783
82,0.07096176782086538,0.9779
83,0.0703785178602284,0.9786
84,0.07071160059201213,0.978
85,0.06969674448394275,0.979
86,0.06865630148102447,0.9793
87,0.06800085920074224,0.9788
88,0.06859499409712286,0.9793
89,0.0679808922150302,0.9791
90,0.06799322490313656,0.9796
91,0.0672222440023435,0.9794
92,0.06706392029712943,0.98
93,0.06641774135015469,0.9799
94,0.06618308153407224,0.9801
95,0.06628647251305159,0.9799
96,0.06613974745902587,0.9799
97,0.0655534777869883,0.9805
98,0.06437869201291978,0.9802
99,0.06448461906616046,0.9803
100,0.06436523114061396,0.9807
