round,loss,accuracy
1,2.300239593167848,0.1004
2,2.291616080682489,0.1168
3,2.2487894975686373,0.1578
4,2.230340028110939,0.2104
5,2.184125426449353,0.2298
6,2.1332767824583416,0.2413
7,2.1140571063077904,0.2344
8,2.0530022126209886,0.2453
9,2.0327706714219684,0.2525
10,2.004995684080486,0.2595
11,1.9996560691278191,0.2683
12,1.9185921180097363,0.3158
13,1.920055298865596,0.3197
14,1.8725873563863054,0.3357
15,1.8401141815547701,0.3541
16,1.8136736577070212,0.3666
17,1.7877324472499798,0.3746
18,1.7611207328265226,0.3847
19,1.7313107508647292,0.3984
20,1.7048208698441711,0.3968
21,1.6904825515384916,0.3971
22,1.6839602732960182,0.406
23,1.6501228069957299,0.4139
24,1.6536515875707698,0.4169
25,1.6248945616468597,0.4201
26,1.6247150701812552,0.4264
27,1.5931217625171323,0.432
28,1.5861953300765799,0.4401
29,1.5824130351030374,0.4395
30,1.5705266149738166,0.442
31,1.5543757284743875,0.447
32,1.5463499072231823,0.452
33,1.5366937525664703,0.4543
34,1.5386278523674495,0.454
35,1.5214295719243303,0.4619
36,1.5102844645705404,0.4624
37,1.5032658893850785,0.4625
38,1.4900734077526043,0.4688
39,1.501505533351174,0.4673
40,1.4859908834288391,0.4709
41,1.478257382972331,0.4686
42,1.4691413354270066,0.4787
43,1.4617991643615915,0.4754
44,1.472399933428704,0.4729
45,1.4516585190084916,0.4781
46,1.4463723777215691,0.4785
47,1.4433336755897426,0.4798
48,1.4394938855231563,0.4803
49,1.4347424250614793,0.4839
50,1.4430493086199216,0.4839
51,1.424320841137367,0.4883
52,1.4232986969283865,0.4936
53,1.4176492766488957,0.4944
54,1.410035901431796,0.4945
55,1.402057941955856,0.4938
56,1.4077781831161886,0.4963
57,1.394968470440635,0.4999
58,1.395525128026552,0.5021
59,1.3903130172174187,0.5003
60,1.387022523940364,0.5059
61,1.392382701740989,0.5057
62,1.3762736758099328,0.5094
63,1.3888198967221417,0.5043
64,1.3753652648080754,0.5068
65,1.385389670541015,0.5022
66,1.3672476101525222,0.5117
67,1.3774438839924485,0.509
68,1.3700820765917814,0.5121
69,1.3713706882694099,0.5145
70,1.3670025264160544,0.5115
71,1.3556650605382798,0.5156
72,1.3548305472241173,0.5175
73,1.3609302074094363,0.5128
74,1.3675447732587405,0.5145
75,1.3592224151273318,0.5191
76,1.3480537013162541,0.5207
77,1.3610032479974288,0.516
78,1.3487741056876847,0.5236
79,1.3527144585983664,0.5134
80,1.35674673243414,0.5182
81,1.355923221081118,0.5179
82,1.3487174178980574,0.5183
83,1.3543507645401773,0.5235
84,1.350854499430596,0.5183
85,1.3437289603148834,0.5192
86,1.3702560829210886,0.5153
87,1.3462899530990213,0.5216
88,1.3499931263018259,0.5217
89,1.3441488848456853,0.5231
90,1.346854277803928,0.5203
91,1.350189192385613,0.5188
92,1.3504557171954383,0.5223
93,1.344605595250673,0.5232
94,1.3682002674175213,0.518
95,1.355215739600266,0.5188
96,1.3486027144178558,0.5265
97,1.3536388451540018,0.5187
98,1.3513935532750962,0.5207
99,1.345434956912753,0.5265
100,1.3514495710783367,0.5213
