round,loss,accuracy
1,2.3031147401544114,0.1
2,2.301277887972095,0.1
3,2.2969837762132475,0.1
4,2.2808168356931664,0.1021
5,2.2455149209952054,0.1472
6,2.2212801522846464,0.1346
7,2.180345417578009,0.1852
8,2.1578138930888118,0.1755
9,2.116472657722763,0.2163
10,2.1003002788447125,0.2195
11,2.078408995761147,0.2251
12,2.0706559706337844,0.219
13,2.039517529403107,0.2372
14,2.038894346997708,0.23
15,2.0147795481017874,0.2405
16,2.0159397623206994,0.2508
17,1.991041673889643,0.2494
18,1.9734876306751106,0.2664
19,1.9643751111211656,0.2742
20,1.9285082892526555,0.2812
21,1.9298120314561868,0.2951
22,1.894104462635668,0.3114
23,1.882276691967928,0.3249
24,1.857927355585219,0.3353
25,1.8406031735335724,0.3345
26,1.8297974987875056,0.3518
27,1.8061492865598654,0.3584
28,1.799894803686987,0.3618
29,1.7904492103600804,0.3673
30,1.770553682423845,0.3767
31,1.7621166811713689,0.372
32,1.7441469762898698,0.3855
