round,loss,accuracy
1,2.2919616155986544,0.1568
2,2.1833669324464435,0.212
3,2.1805184943766536,0.2201
4,2.142961058435561,0.2378
5,2.1741016243077533,0.2399
6,2.1336252538463736,0.2418
7,2.088613519185706,0.2969
8,2.0612833152843426,0.3282
9,1.982776260074181,0.3045
10,1.969323677352712,0.328
11,1.942277197596393,0.3366
12,1.87330668787413,0.3609
13,1.8807667418371272,0.3592
14,1.829844533642636,0.3615
15,1.828978444956526,0.3733
16,1.7591645370555828,0.3856
17,1.7424504228785067,0.3947
18,1.725461114810992,0.4011
19,1.6929563842242277,0.4078
20,1.6717261528667016,0.4185
21,1.67852848089194,0.4154
22,1.647182792047911,0.4308
23,1.6373542139801798,0.432
24,1.5828952230984652,0.4461
25,1.6010111374191092,0.4502
26,1.5850774834427652,0.4508
27,1.5639144544360004,0.4551
28,1.5673247741747507,0.4592
29,1.540659764144994,0.4611
30,1.5217178546929662,0.4665
31,1.5141395541686047,0.4669
32,1.4996413445170922,0.4738
33,1.4968013627619683,0.4709
34,1.472210840333866,0.4813
35,1.4824212412290936,0.4792
36,1.4719589888295042,0.4828
37,1.4561328767221184,0.4837
38,1.458920008019556,0.4864
39,1.4444145326372944,0.4893
40,1.4402702563925633,0.4909
41,1.442527703092068,0.4919
42,1.4362928550454634,0.4866
43,1.4271830229819575,0.4974
44,1.4153002017660985,0.497
45,1.410801968997038,0.4967
46,1.401246407363988,0.4997
47,1.4034486752522142,0.4996
48,1.396834035462971,0.5007
49,1.3901834306837637,0.506
50,1.385752333870417,0.5094
51,1.3690380024004587,0.5102
52,1.3732797314849081,0.512
53,1.3610658389103563,0.5116
54,1.3663470503650135,0.5128
55,1.3569730097734476,0.5176
56,1.3584471035607253,0.5171
57,1.3464459407178662,0.5207
58,1.3447134887115866,0.5207
59,1.3314832780934587,0.5247
60,1.3387920449051676,0.5241
61,1.3299249667155593,0.53
62,1.327174437196949,0.5253
63,1.3254073058502585,0.528
64,1.3182556885707228,0.5335
65,1.3250366962408717,0.5274
66,1.3184814830369587,0.5297
67,1.310000920597511,0.5338
68,1.3253544357758533,0.5307
69,1.3080182392385942,0.5313
70,1.3080313311347478,0.5305
71,1.3039555474172664,0.5385
72,1.2948836782310582,0.5396
73,1.2929886202268963,0.5372
74,1.2937792267980455,0.5396
75,1.2885805670219133,0.5409
76,1.2875035186357136,0.5362
77,1.2831378526325468,0.5432
78,1.2901514421535443,0.5429
79,1.2721712242198895,0.5481
80,1.2819718756253207,0.5443
81,1.2737214233301863,0.5475
82,1.2793222047105621,0.5464
83,1.2638326762597771,0.5525
84,1.257925730717333,0.5526
85,1.2525655680064913,0.5562
86,1.260003747819345,0.5538
87,1.259654488744615,0.5544
88,1.266415220272692,0.5523
89,1.2593639711790447,0.5558
90,1.2605836376359192,0.5533
91,1.2541898986961268,0.5619
92,1.2545585949209672,0.5569
93,1.249596565584593,0.5599
94,1.2480227705798572,0.5593
95,1.244872947282429,0.5644
96,1.2426366715491572,0.5603
97,1.2405515049077287,0.5601
98,1.2402788551547859,0.5645
99,1.2341093760502488,0.5668
100,1.2495879508272003,0.559
