round,loss,accuracy
1,2.136071365090865,0.5439
2,1.617105794858329,0.6601
3,1.25258910052384,0.6917
4,0.6174278644066823,0.873
5,0.4246717035015927,0.9184
6,0.23033064382174348,0.9404
7,0.16742854196389642,0.9519
8,0.14287508600921947,0.9554
9,0.1357318120124408,0.9589
10,0.12127726074143112,0.9624
11,0.1177462639575942,0.9639
12,0.10662603323772267,0.9666
13,0.10644547570838675,0.9665
14,0.09966861602520169,0.9689
15,0.09822298291498865,0.9689
16,0.09111116458352396,0.9707
17,0.09243982064587807,0.9715
18,0.08659148208216375,0.9735
19,0.08397735227444622,0.974
20,0.0816483782535077,0.9753
21,0.07935643122941137,0.9754
22,0.07652026573837074,0.977
23,0.07494573564934721,0.9777
24,0.07314328307542313,0.9779
25,0.07235169167964885,0.9776
26,0.07088583094455432,0.9779
27,0.0715143738201778,0.9781
28,0.06881997311234332,0.9789
29,0.06806852398594972,0.9785
30,0.06545661678618775,0.9792
31,0.06572944275416652,0.979
32,0.0635780040465761,0.98
33,0.06397039232380641,0.9788
34,0.062298301638684626,0.9804
35,0.06119209874931228,0.9802
36,0.06193714994344789,0.9806
37,0.05919231738489198,0.9817
38,0.06077161027837686,0.9815
39,0.058793421728054615,0.9817
40,0.057774570660409225,0.9821
41,0.058362599264622575,0.9815
42,0.057630227667502795,0.9817
43,0.05579675562708135,0.9826
44,0.05635860838221469,0.9823
45,0.05738637128939168,0.9827
46,0.05544666614500611,0.9829
47,0.05454093673785182,0.9837
48,0.054923152328907994,0.9834
49,0.05426623259939598,0.9843
50,0.05285507893767075,0.984
51,0.05320421103653321,0.9839
52,0.05166752208173467,0.9846
53,0.05341579213273701,0.9843
54,0.05291907716263601,0.9844
55,0.05182893661558525,0.9846
56,0.05323360557391609,0.9849
57,0.05115040656454755,0.9849
58,0.05034910944738805,0.9849
59,0.049644674658661125,0.985
60,0.04984606187902995,0.9853
61,0.04881644165021798,0.9855
62,0.05034889399140883,0.9847
63,0.051284147902646786,0.9849
64,0.05099920538459283,0.9857
65,0.04938309751755869,0.9857
66,0.04783039484101221,0.986
67,0.04763325070907049,0.9856
68,0.047900413445663446,0.986
69,0.04866472572062269,0.9856
70,0.048387618162473986,0.9857
71,0.04672408584073183,0.9858
72,0.04837158812199648,0.9864
73,0.04856848765599882,0.9861
74,0.04734602563239375,0.986
75,0.04723171959778506,0.9868
76,0.04615700256383921,0.9865
77,0.04764263815266969,0.9865
78,0.04736071874881591,0.9865
79,0.046357689234608625,0.9869
80,0.04579690652416836,0.9869
81,0.0460305026686519,0.9868
82,0.04614578997615918,0.986
83,0.04629019729916855,0.9865
84,0.04567275425004574,0.9868
85,0.04554171215600439,0.9874
86,0.04532919509355325,0.9872
87,0.045422135741802455,0.9871
88,0.04535448578278618,0.9874
89,0.044560081799375706,0.9871
90,0.04547301361904092,0.987
91,0.0439483027121817,0.9872
92,0.04466706856148932,0.9873
93,0.04307566239197202,0.9875
94,0.04377896759099632,0.9873
95,0.043372342862968725,0.9875
96,0.04388728671509381,0.9869
97,0.04336394361782851,0.9874
98,0.043451276447464084,0.9872
99,0.04332891244006003,0.9874
100,0.04329150558002271,0.9874
