round,loss,accuracy
1,1.670652137526983,0.6652
2,2.206529861764063,0.1795
3,1.042807032035876,0.727
4,1.0431768003898332,0.748
5,0.6135464763339562,0.8413
6,0.3968253343165675,0.8952
7,0.28613179224201396,0.9239
8,0.21318136844076688,0.9379
9,0.18369891414348083,0.9438
10,0.16330635832929158,0.9493
11,0.1517253892166139,0.9527
12,0.13891319133624247,0.9573
13,0.12587321234595833,0.9609
14,0.11831459851015973,0.9631
15,0.1082889502455445,0.9642
16,0.10240955016121882,0.968
17,0.10012514502859285,0.9687
18,0.09629700923061493,0.9707
19,0.09127308684990659,0.9715
20,0.08853133364884136,0.9734
21,0.08525141174654488,0.9737
22,0.08337705949899045,0.9748
23,0.08134326735758989,0.9757
24,0.080854533202622,0.9752
25,0.0789968040226546,0.9763
26,0.07796426046834197,0.9772
27,0.07309417759990791,0.9775
28,0.0732816583270655,0.9778
29,0.07035852070526467,0.9791
30,0.06897817737101636,0.979
31,0.06493850503576613,0.9805
32,0.06579869509677556,0.9797
33,0.06476686707892325,0.9808
34,0.06504256592376771,0.9806
35,0.06149771447769437,0.9813
36,0.06086882789614846,0.981
37,0.06224068091693039,0.9815
38,0.059886684021588324,0.9821
39,0.06136483760311893,0.9817
40,0.057406885752047686,0.9833
41,0.05735039267994027,0.9829
42,0.058063622267881435,0.983
43,0.0573523618358989,0.9829
44,0.05697574565180465,0.9833
45,0.05533138031576159,0.9834
46,0.05387406355275513,0.9841
47,0.05529802503606564,0.984
48,0.0548797569005924,0.9847
49,0.05404030162302476,0.9842
50,0.05278635508019058,0.9841
51,0.052918887382544154,0.9851
52,0.05220862153196955,0.9848
53,0.05062945447405329,0.9855
54,0.050613585295328056,0.986
55,0.05003035709238316,0.9848
56,0.049544689680790066,0.9849
57,0.04968906550677758,0.9847
58,0.05018973468340155,0.9855
59,0.04837511818158983,0.9861
60,0.048788232111764036,0.9858
61,0.04777067141954439,0.9855
62,0.048959002909110566,0.9855
63,0.04838309876117531,0.9859
64,0.04914933455668838,0.9856
65,0.04708051886543988,0.9862
66,0.04730914181331909,0.986
67,0.047876558448202745,0.9863
68,0.04589777385364316,0.9862
69,0.046115187234377866,0.9856
70,0.04680470404910702,0.9864
71,0.04609009952419231,0.9864
72,0.04598669205485369,0.986
73,0.045215098605280495,0.9865
74,0.04573423063431872,0.9866
75,0.046434257549375205,0.9864
76,0.04459799485427734,0.9869
77,0.04509467271860627,0.9864
78,0.044709670488649676,0.9867
79,0.04388851246942436,0.9869
80,0.043786757700517334,0.9867
81,0.04384909080830698,0.9869
82,0.044076307639431746,0.9861
83,0.0441427931991366,0.9872
84,0.04362687215371473,0.9872
85,0.04385005863472934,0.9868
86,0.043188791770504234,0.987
87,0.04350990439799048,0.9862
88,0.04306191857867356,0.9867
89,0.04284440071610852,0.9872
90,0.042997169824036376,0.9865
91,0.04289761138904937,0.9871
92,0.04265828144099619,0.987
93,0.04255914836037938,0.987
94,0.04256037717719733,0.9868
95,0.04232390488212769,0.9872
96,0.04249774594409016,0.9874
97,0.042182741349521005,0.9875
98,0.04377936225970603,0.9874
99,0.04193089229457782,0.9873
100,0.04178368481734651,0.9875
