round,loss,accuracy
1,2.294288478320158,0.1553
2,2.0601734028586858,0.6779
3,2.2351316983186744,0.1327
4,1.2850177770928493,0.7778
5,1.050040922587431,0.8198
6,0.5219643779947788,0.9111
7,0.34919545507129235,0.9175
8,0.23172517248158214,0.9365
9,0.21573414365890659,0.9419
10,0.18114689016078092,0.9483
11,0.161578191196711,0.9531
12,0.15634233275829237,0.9561
13,0.1419018074940843,0.9576
14,0.14158649911184476,0.9585
15,0.12568683518521204,0.9632
16,0.12071541701502438,0.9641
17,0.11422017519067548,0.9657
18,0.11134879451386537,0.967
19,0.10668609193467264,0.9683
20,0.10162486703300118,0.9703
21,0.09893694727481166,0.9707
22,0.09766703256983546,0.9719
23,0.09148880885324523,0.9723
24,0.08890028966036684,0.9736
25,0.08873140184161595,0.9736
26,0.08764402946174334,0.973
27,0.08554871101521805,0.9738
28,0.08305732290484483,0.974
29,0.08016630532691561,0.9752
30,0.07857368292457931,0.9763
31,0.07860736738112342,0.9752
32,0.07355014318335047,0.9772
33,0.07311201295992241,0.977
34,0.07319584308646006,0.9778
35,0.07318288296802983,0.9776
36,0.06949276789062055,0.9785
37,0.06857542089286814,0.978
38,0.06825900768206891,0.9788
39,0.06809801441216487,0.9789
40,0.06791323413291381,0.9791
41,0.06595034827330869,0.9793
42,0.06477522148302745,0.9794
43,0.06397425632738167,0.9801
44,0.06388676483287252,0.9795
45,0.06199286854604872,0.9805
46,0.061357780900500904,0.98
47,0.061173757915444014,0.9805
48,0.06307970584352512,0.9806
49,0.06043826216755176,0.9813
50,0.060523462999771245,0.9808
51,0.05881569865144954,0.9817
52,0.059888034455531244,0.9813
53,0.0576626204029374,0.9818
54,0.05766855829978904,0.9818
55,0.05819185568562037,0.9815
56,0.05759678195308764,0.9822
57,0.057050919792057855,0.9824
58,0.055634607923441104,0.9829
59,0.054356052703813565,0.983
60,0.05538396726110419,0.983
61,0.054764988008795215,0.9833
62,0.05379881314959825,0.9834
63,0.05292496054442128,0.9838
64,0.05364146698384157,0.9834
65,0.0534475885546778,0.9837
66,0.052409095874961016,0.9838
67,0.05326632406677508,0.9838
68,0.05185168250493375,0.9845
69,0.05226289283055399,0.984
70,0.051534105087129425,0.9841
71,0.05252499103194686,0.9841
72,0.05159647183848657,0.9846
73,0.05132097604148874,0.9849
74,0.05149671975619018,0.9843
75,0.05113156663645884,0.9843
76,0.05063589520202036,0.9846
77,0.05013944707826352,0.9847
78,0.05047122504111951,0.9842
79,0.05002862943429942,0.9844
80,0.04920721185891712,0.9851
81,0.04895089229968925,0.9848
82,0.04927766197740507,0.9849
83,0.048307706360798036,0.9855
84,0.049085289048313906,0.9847
85,0.04877308981280915,0.9848
86,0.04943167634751895,0.9848
87,0.0485050903693655,0.9849
88,0.048596353654726115,0.985
89,0.047254197102384876,0.9854
90,0.04818874342154116,0.9856
91,0.04785724415742612,0.9861
92,0.046910984220596245,0.9859
93,0.046761940554472546,0.9864
94,0.04654867001549456,0.9863
95,0.046910341189698244,0.9863
96,0.04748084970574555,0.9859
97,0.046893226818415144,0.9864
98,0.0468309575239052,0.9866
99,0.04674462013424056,0.9863
100,0.04663640392335983,0.9863
